"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"J2";"MICRO-SD_CARD_SOCKET";"MICRO-SD_CARD_SOCKET";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"CONN-07820";"PRT-00127";"";"";
"J3";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J4";"";"6_PIN_SERIAL_TARGETSILK";"6_PIN_SERIAL_TARGET_SIDE_W_SILK";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";
"J5";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J6";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J7";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";"";
"J8";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J9";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J10";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J11";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J12";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";
"R1";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"";"";"1M";
"R2";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R3";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"";"10K";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"";"10K";
"R6";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"";"";"470";
"R7";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"";"";"470";
"R8";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"";"";"20";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R10";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"";"";"20";
"R11";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R12";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R13";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R15";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"";"";"1M";
"R16";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R17";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"330";
"R18";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"RES-08296";"";"";"2.0k";
"R19";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R20";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R21";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R22";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R23";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R24";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R25";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R26";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"RES-08296";"";"";"2.0k";
"R27";"10";"10OHM-1/10W-5%0603SMD";"0603-RES";"RES-09834";"RES-09834";"";"";"10";
"R28";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R29";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R30";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"R31";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"";"100k";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-08247";"";"COM-08720";"";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"IC-09069";"";"";"ATMEGA328P_TQFP";
"U2";"VS1000D";"VS1000";"LQFP-48";"VS1000D";"LPA-12743";"";"";"VS1000D";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"";"";"3.3V";
"U4";"4MB Flash";"AT25SF041";"SO08";"AT25SF041 4Mb Serial Flash Memory";"IC-12455";"";"";"4MB Flash";
"Y1";"12MHz";"CRYSTALCRYSTAL-SMD-5X3-12MHZ";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints.";"XTAL-08297";"";"";"12MHz";
"Y2";"8MHz";"RESONATOR-8MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"8MHz Resonator";"XTAL-08895";"";"";"8MHz";
