"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"JP4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"JP5";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"JP6";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"JP7";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP9";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP10";"";"CONN_08SMD-COMBO-FEMALE";"1X08_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10204";"";"PRT-11543";"";"";
"JP11";"JP11";"CONN_08SMD-COMBO-FEMALE";"1X08_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10204";"";"PRT-11543";"";"";
"JP12";"DNP";"CONN_10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-11219";"";"";"";"";
"JP13";"";"CONN_06SMD-STRAIGHT-COMBO-FEMALE";"1X06_SMD_STRAIGHT_COMBO";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10203";"";"";"";"";
"JP14";"USB_SOLDER_PADS";"USB_SOLDER_PADS";"USB-SOLDER-PADS";"Solder pad access to USB pins. Helpful to expose on PCBs so user can attach external USB connector if necessary.";"";"";"";"";"";"";
"JP15";"DNP";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10204";"";"";"";"";
"JP18";"DNP";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-10203";"";"";"";"";
"JP19";"DNP";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"LED1";"Blue";"LED-BLUE_HIDDENSILK";"LED-1206-HIDDENSILK";"Blue SMD LED";"";"DIO-09911";"";"";"";"";
"LED2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"";"GREEN";
"LOGO1";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";
"Q1";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRANS-14388";"";"";"";"20V/4.2A/52mΩ/1.4W";
"Q2";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"";"";"310mA/60V/1.6Ω";
"Q3";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"";"";"310mA/60V/1.6Ω";
"QW1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"QW2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"";"4.7k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"10k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"10k";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"";"2.2k";
"R6";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"";"2.2k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"";"5.1k";
"R8";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"";"5.1k";
"R11";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"";"2.2k";
"R12";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"";"4.7k";
"R13";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"";"2.2k";
"R14";"715";"715OHM-0603-1/10W-1%";"0603";"715Ω resistor";"";"RES-07850";"";"";"";"715";
"R15";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"";"RES-07849";"";"";"";"240";
"R16";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"";"4.7k";
"S1";"Tall Switch";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";"";
"S2";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"SWCH-08179";"";"";"COM-00597";"";
"TP1";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP3";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP4";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP5";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP6";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"U$1";"REDBOARD_LOGO";"REDBOARD_LOGO";"REDBOARD_LOGO";"";"";"";"";"";"";"";
"U$3";"REDBOARD_LOGO";"REDBOARD_LOGO";"REDBOARD_LOGO";"";"";"";"";"";"";"";
"U$16";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"U1";"CH340G";"CH340GSMD";"SO016";"A simple USB 2.0 to Serial IC.";"";"IC-13498";"";"";"";"CH340G";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"";"3.3V";
"U4";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";"IC-09069";"";"";"";"ATMEGA328P_TQFP";
"Y1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"16MHz Resonator";"";"XTAL-08900";"";"";"";"16MHz";
"Y2";"12MHz";"CRYSTAL-GROUNDEDSMD-3.2X2.5";"CRYSTAL-SMD-3.2X2.5MM";"Crystals w/ Ground Pin (Generic)";"";"XTAL-13518";"";"";"";"";
