"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"J1";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J3";"";"CONN_02SMALL_POKEHOME";"1X02_POKEHOME";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-13512";"";"";"";
"J4";"";"CONN_02SMALL_POKEHOME";"1X02_POKEHOME";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-13512";"";"";"";
"J5";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-08437";"";"";"";
"J6";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";
"J8";"";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"Q1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"TRANS-11308";"";"";"2.5A/30V/105mΩ";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R2";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R3";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"RES-08296";"";"";"2.0k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R6";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-13065";"";"";"";
"S2";"BTN2";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-13065";"";"";"";
"TP1";"TP-SWDIO";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP2";"TP-SWCLK";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP3";"TP-!RESET!";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP4";"TP-3.3V";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP5";"TP-GND";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP6";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP7";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP8";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"IC-09995";"";"";"";
"U2";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";"IC-13064";"";"";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";
"U4";"W25Q32FV";"W25Q32FVSS";"SOIC-8";"W25Q32FV 32Mb (4MB) Serial Flash Memory";"";"IC-13229";"";"";"W25Q32FV";
"Y1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"XTAL-13062";"";"";"32.768kHz";
