"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"R21";"100";"100OHM1/10W1%(0603)";"0603-RES";"RES-07863";"RES-07863";"100";
"R22";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R23";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R24";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R25";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"RES-08272";"2.2k";
"R26";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R27";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"S1";"Reset";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"SWCH-08247";"";
"S2";"";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S3";"On/Off";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S5";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"SWCH-11966";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"U$5";"LED-TRICOLOR";"LED-TRICOLOR-NO-COMPLCC-6-SMD";"PLCC-6-LED";"";"DIO-12113";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"U2";"ATMEGA328";"ATMEGA328_SMT";"TQFP32-08";"32-Pin Atmega328 part";"IC-09069";"ATMEGA328P";
"U3";"10K_LINEAR_SLIDE_POT_SMALL";"10K_LINEAR_SLIDE_POT_SMALL";"C2031N-1A2-B10K-GP";"";"RES-11924";"";
"U4";"MCP9700";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"IC-08917";"";
"U5";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"IC-00870";"";
"U6";"LIGHTSENSORALS";"LIGHTSENSORALS";"ALS-PT19";"Ambient Light Sensor";"IC-11836";"";
"U7";"V_REG_MIC52053.3V";"V_REG_MIC52053.3V";"SOT23-5";"V_REG MIC5219";"VREG-00822";"3.3V/150mA";
"U8";"LMV358SOIC";"LMV358SOIC";"SO08";"Jellybean rail-to-rail output op-amp";"IC-09657";"";
"U9";"MIC9.7MM";"MIC9.7MM";"MIC-9.7MM";"Omni-directional electret microphone. 9.7mm standard diameter.";"COMP-08856";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"CONN-08193";"";
"Y1";"8MHz";"RESONATOR8MHZ";"RESONATOR-SMD";"Resonator";"XTAL-08895";"8MHZ";
