"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"FRAME4";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"USD_CONNECTOR";"USD_CONNECTOR";"MICRO-SD-SOCKET-PP";"microSD Socket";"CONN-07820";"";
"JP1";"Prog";"M06SIP";"1X06";"Header 6";"";"";
"JP2";"LiPo";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"";"";
"JP4";"";"M04PTH";"1X04";"Header 4";"";"";
"JP5";"";"M06SIP";"1X06";"Header 6";"";"";
"JP6";"M100.1";"M10"";"1X10";"Header 10";"";"";
"LED1";"LED RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED3";"";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED4";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";
"LOGO3";"SFE_LOGO_FLAME.4_INCH";"SFE_LOGO_FLAME.4_INCH";"SFE_LOGO_FLAME_.4";"SFE Logo, flame only";"";"";
"Q1";"12MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Crystals";"";"";
"Q2";"32kHz";"CRYSTAL32-SMD";"CRYSTAL-32KHZ-SMD";"Crystals";"";"";
"Q4";"TRANSISTOR_PNPSMD";"TRANSISTOR_PNPSMD";"SOT23-3";"";"";"";
"R1";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"10K";
"R2";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"RES-08296";"2.0k";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R6";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"10K";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"10K";
"R8";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"10K";
"R9";"33";"33OHM1/10W1%(0603)";"0603-RES";"RES-08270";"RES-08270";"33";
"R10";"33";"33OHM1/10W1%(0603)";"0603-RES";"RES-08270";"RES-08270";"33";
"R11";"1.5k";"1.5KOHM1/10W1%(0603)";"0603";"RES-08306";"RES-08306";"1.5KOHM";
"R12";"1k";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"RES-07856";"1K";
"R13";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"10K";
"R14";"100k";"100KOHM1/10W1%(0603)";"0603-RES@1";"RES-07828";"RES-07828";"100k";
"R15";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R16";"1M";"1MOHM1/10W1%(0603)";"0603-RES@1";"RES-07868";"RES-07868";"";
"R17";"1M";"1MOHM1/10W1%(0603)";"0603-RES@1";"RES-07868";"RES-07868";"";
"R18";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R19";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R20";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"S1";"";"SWITCH-SPSTSMD";"AYZ0202";"SPST Switch";"";"";
"S2";"Stop";"TAC_SWITCHSND";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";
"S3";"Reset";"TAC_SWITCHSND";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";
"U$1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U$2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U$3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$6";"LOGOMATIC_LOGO";"LOGOMATIC_LOGO";"LOGOMATIC_LOGO";"Logo for the Logomatic boards.";"";"";
"U$7";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"U$8";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$10";"REVISION";"REVISION";"REVISION";"";"";"";
"U1";"MCP73831";"MCP73831SMD";"SOT23-5";"";"";"";
"U2";"3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";
"U4";"LPC213X";"LPC213X";"SQFP-S-10X10-64";"LPC213x";"";"";
"X1";"USB_MICROB_PLUGCONN-11752";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B Plug";"CONN-11752";"";
