"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"J5";"";"6_PIN_SERIAL_TARGETNO_SILK";"1X06_NO_SILK";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";
"J6";"";"CONN_031X03_NO_SILK";"1X03_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J7";"";"CONN_031X03_NO_SILK";"1X03_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J8";"U.FL";"U.FL";"U.FL";"SMD Antenna Connector - U.FL";"CONN-09193";"WRL-09144";"";"U.FL";
"J9";"NANO_SIM";"NANO_SIMWURTH";"NANO_SIM_WURTH_693043020611";"";"CONN-14097";"";"";"";
"J10";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J11";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"JP1";"IOREF-SEL";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"Normally open jumper";"";"";"";"";
"JP2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"JP3";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"JP4";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"JP5";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";
"JP6";"VUSB_DET";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";
"JP7";"J-CHIP";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";
"JP8";"J-U.FL";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";
"L1";"39nH";"INDUCTOR-0603-39NH";"0603";"Inductors";"NDUC-14091";"";"";"39nH";
"L2";"DNP";"INDUCTOR-0603-68NH";"0603";"Inductors";"";"";"";"68nH";
"LOGO1";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SparkFun Font Logo";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SparkFun Font Logo";"";"";"";"";
"Q1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"TRANS-11308";"";"";"2.5A/30V/105mΩ";
"Q2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"";"600mA/40V";
"R1";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"RES-07871";"";"";"47k";
"R2";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"R3";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"RES-08296";"";"";"2.0k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R5";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"R8";"DNP";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"SWCH-08179";"";"COM-00597";"";
"S2";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"SWCH-08179";"";"COM-00597";"";
"S3";"PWR_ON";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-08247";"";"COM-08720";"";
"S4";"RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-08247";"";"COM-08720";"";
"U1";"TXB0104";"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";"IC-13929";"";"";"TXB0104";
"U2";"AP2112K-3.3";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"";"";"3.3V";
"U3";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";"";"";
"U4";"TCA9406DCU";"TCA9406DCU";"VSSOP-8";"";"IC-14098";"";"";"";
"U5";"AP7361C-33FGE";"AP7361C-33FGE";"8-UDFN";"AP7361C 3.3V LDO Regulator";"VREG-14094";"";"";"";
"U6";"SARA-R410M-2B";"SARA-R4";"SARA-LGA";"";"IC-14085";"";"";"";
