"Part";"Value";"Device";"Package";"Description";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"JP14";"";"M04PTH";"1X04";"Header 4";"";"";"";
"LOGO1";"OSHW_LOGO_FILLX0100-NT";"OSHW_LOGO_FILLX0100-NT";"OSHW_FILLX100_NOTEXT";"";"";"";"";
"PWR_LED";"YELLOW";"LED0603";"LED-0603";"LEDs";"";"";"";
"R1";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R2";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R3";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R4";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R5";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R6";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"RES-07864";"";"390";
"R7";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R8";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"RES-07849";"";"240";
"R9";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R10";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R11";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R12";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"R13";"8.2K";"8.2KOHM-1/10W-5%(0603)";"0603-RES";"RES-10646";"RES-10646";"";"";
"R14";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R15";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R16";"10K";"TRIMPOT3MM-2";"TRIMPOT-3MM-2";"Various small potentiometers for "set-and-forget" applications";"";"";"";
"R18";".11";"0.11OHM1/2W1%(2010)";"R2010";"RES-08354";"RES-08354";"";"";
"R19";".11";"0.11OHM1/2W1%(2010)";"R2010";"RES-08354";"RES-08354";"";"";
"R20";"20K";"20KOHM1/10W5%(0603)";"0603-RES";"RES-09231";"RES-09231";"";"";
"TP1";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";
"U$2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";
"U$3";"PAD";"PAD";"PAD-0.008";"";"";"";"";
"U$4";"PAD";"PAD";"PAD-0.008";"";"";"";"";
"U$5";"PAD";"PAD";"PAD-0.008";"";"";"";"";
