"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"IC1";"LMV358";"OPAMP-DUALU";"SO08";"Generic op-amp footprint";"IC-09657";"";"OP-AMP";
"IC2";"LMV358";"OPAMP-DUALU";"SO08";"Generic op-amp footprint";"IC-09657";"";"OP-AMP";
"J1";"";"CONN_063.5MM-6";"SCREWTERMINAL-3.5MM-6";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-13617";"";"";
"J2";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack Connector";"CONN-08197";"PRT-00119";"";
"J3";"";"CONN_03SCREW";"SCREWTERMINAL-3.5MM-3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08288";"PRT-08235";"";
"JP1";"";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";
"JP2";"";"JUMPER-SMT_2_NC_PASTE_NO-SILK";"SMT-JUMPER_2_NC_PASTE_NO-SILK";"Normally closed solder jumper";"";"";"";
"JP3";"";"JUMPER-SMT_2_NC_PASTE_NO-SILK";"SMT-JUMPER_2_NC_PASTE_NO-SILK";"Normally closed solder jumper";"";"";"";
"JP4";"";"JUMPER-SMT_2_NC_PASTE_NO-SILK";"SMT-JUMPER_2_NC_PASTE_NO-SILK";"Normally closed solder jumper";"";"";"";
"JP5";"5V Bypass";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open-Source Hardware (OSHW) Logo";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R7";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"RES-07861";"";"220";
"R8";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"RES-07861";"";"220";
"R9";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"RES-07861";"";"220";
"R10";"";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"";"1k";
"R11";"";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"";"1k";
"R12";"";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kΩ resistor";"RES-12182";"";"1k";
"R13";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"U1";"MC33926";"MC33926";"32-PQFN";"";"IC-13616";"";"";
"U2";"MC33926";"MC33926";"32-PQFN";"";"IC-13616";"";"";
"U3";"MC33926";"MC33926";"32-PQFN";"";"IC-13616";"";"";
"U4";"R-78E5.0-1.0";"R-78E5.0-1.0";"DC-DC_CONVERTER_78XX";"Recom Power 5V 1A DC/DC Converter";"COM-13655";"";"";
