"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"SKU";"VALUE";"VERSION";
"C21";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C22";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C23";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C24";"";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";"";"";
"C25";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C26";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"";"CAP-11330";"";"";"";"";
"C27";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C28";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"";"CAP-11330";"";"";"";"";
"C29";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C30";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C31";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C32";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C33";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C34";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C35";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C36";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C37";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"CAP-00868";"";"";"1.0uF";"";
"C38";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"";"0.1uF";"";
"D1";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"DIO-08053";"";"";"";"";
"D2";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"DIO-08053";"";"";"";"";
"D3";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"DIO-08053";"";"";"";"";
"D4";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"";"DIO-08053";"";"";"";"";
"D5";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"";"";"RED";"";
"D6";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"DIO-00819";"";"";"RED";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"";"v01";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"";"v01";
"FRAME3";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"";"v01";
"JP1";"MicroB";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"";"CONN-11752";"";"";"";"";
"JP2";"MicroB";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"";"CONN-11752";"";"";"";"";
"JP3";"";"M02JST-PTH-2";"JST-2-PTH";"Standard 2-pin 0.1" header. Use with";"";"CONN-09863";"";"PRT-09914";"";"";
"JP4";"1X6 FEMALE PTH";"M06SIP_LOCK";"1X06-SIP_LOCK";"Header 6";"";"CONN-08437";"";"";"";"";
"JP5";"1X8 FEMALE PTH";"M08LOCK";"1X08_LOCK";"Header 8";"";"CONN-08438";"";"";"";"";
"JP6";"1X8 FEMALE PTH";"M08LOCK";"1X08_LOCK";"Header 8";"";"CONN-08438";"";"";"";"";
"JP7";"1X10 FEMALE PTH";"M10LOCK";"1X10_LOCK";"Header 10";"";"CONN-11563";"";"";"";"";
"JP8";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"";"";"CONN-12423";"";"";"2X6 FEMALE";"";
"JP9";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"";"";"CONN-12423";"";"";"2X6 FEMALE";"";
"JP10";"1x8 FEMALE PTH";"M08LOCK";"1X08_LOCK";"Header 8";"";"CONN-08438";"";"";"";"";
"JP11";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"";"";"CONN-12423";"";"";"2X6 FEMALE";"";
"JP12";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"";"";"CONN-12423";"";"";"2X6 FEMALE";"";
"JP13";"";"M03X22X3_SILK_MALE_PTH";"2X3";"2x3 .1" header.";"";"CONN-09701";"";"";"";"";
"JP14";"DNP";"M05X20.05_IN_PTH_SILK";"2X5_PTH_SILK_.05";"Header 5x2";"";"";"";"";"";"";
"JP15";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"";"";"CONN-12423";"";"";"2X6 FEMALE";"";
"JP17";"DNP";"M05X20.05_IN_PTH_SILK";"2X5_PTH_SILK_.05";"Header 5x2";"";"";"";"";"";"";
"JP18";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"CONN-08197";"PRT-00119";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";"";"";
"R1";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"";"";"4.7K";"";
"R2";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"";"";"4.7K";"";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"";"10K";"";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"";"10K";"";
"R5";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"";"RES-09383";"";"";"20k";"";
"R6";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"";"RES-09383";"";"";"20k";"";
"R7";"2.2k";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"";"RES-08272";"";"";"2.2k";"";
"R8";"2.2k";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"";"RES-08272";"";"";"2.2k";"";
"R9";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"";"1K";"";
"R10";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"";"1K";"";
"R11";"0.27";"0.27OHM-1/10W-1%(0603)";"0603-RES";"RES-08787";"";"RES-08787";"";"";"";"";
"R12";"0.27";"0.27OHM-1/10W-1%(0603)";"0603-RES";"RES-08787";"";"RES-08787";"";"";"";"";
"R16";"22";"22OHM1/10W1%(0402)";"0402-RES";"";"";"RES-12427";"";"";"22";"";
"R17";"22";"22OHM1/10W1%(0402)";"0402-RES";"";"";"RES-12427";"";"";"22";"";
"R18";"22";"22OHM1/10W1%(0402)";"0402-RES";"";"";"RES-12427";"";"";"22";"";
"R19";"22";"22OHM1/10W1%(0402)";"0402-RES";"";"";"RES-12427";"";"";"22";"";
"R20";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"";"1K";"";
"R21";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"";"1K";"";
"S1";"SPST-MOM";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";"";"";
"S2";"SPST-MOM";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";"";"";
"S3";"SPDT";"SWITCH-SPDTPTH_LOCK";"SWITCH-SPDT_LOCK.007S";"SPDT Switch";"";"SWCH-08261";"";"";"";"";
"S4";"SPDT";"SWITCH-SPDTPTH_LOCK";"SWITCH-SPDT_LOCK.007S";"SPDT Switch";"";"SWCH-08261";"";"";"";"";
"S5";"SPST-MOM";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";"";"";
"S6";"SPST-MOM";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";"";"";
"SJ1";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";"";"";"";"";
"SJ2";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";"";"";
"SJ3";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";"";
"SJ4";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";"";
"SJ5";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";"";
"SJ6";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";"";
"SJ7";"JUMPER-PAD-2-NO";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"U$1";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"Warning text which will appear on both the schematic";"";"";"";"";"";"";
"U1";"CY8C5888AXI-LP096";"PSOC_5LP_100QFP";"TQFP-100-14X14MM";"Cypress PSOC 5LP, 100-pin package";"";"IC-12190";"";"";"CY8C5868AXI-LP035";"";
"U2";"MIC5219 5V";"V_REG_MIC52195V";"SOT23-5";"V_REG MIC5219";"";"VREG-10107";"";"";"MIC5219 5V";"";
"U3";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"VREG-09872";"";"";"MIC5219 3.3V";"";
"U4";"2A/20V";"MOSFET-PCHANNEL_DUALSOT26";"SOT26";"";"";"TRAN-12444";"";"";"2A/20V";"";
"U7";"CY8C5868LTI-LP039";"PSOC_5LP_68QFN";"QFN-68";"PSoC5LP 68-QFN package";"";"IC-12391";"";"";"CY8C5868LTI-LP039";"";
"Y1";"32.768kHz";"CRYSTALTC26H";"TC26H";"Various standard crystals. Proven footprints.";"";"XTAL-10112";"";"";"32.768kHz";"";
"Y2";"";"CRYSTALHC49US";"HC49US";"Various standard crystals. Proven footprints.";"";"";"";"";"";"";
