"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"R15";"43k";"43KOHM1/10W1%(0603)";"0603-RES";"RES-07858";"";"";"RES-07858";"43k";
"R16";"15K";"15KOHM1/10W1%(0603)0603";"0603-RES";"RES-07854";"";"";"RES-07854";"15K";
"R17";"43k";"43KOHM1/10W1%(0603)";"0603-RES";"RES-07858";"";"";"RES-07858";"43k";
"R18";"30.1k";"30.1KOHM1/10W1%(0603)";"0603-RES";"RES-08595";"";"";"RES-08595";"30.1k";
"R19";"15K";"15KOHM1/10W1%(0603)0603";"0603-RES";"RES-07854";"";"";"RES-07854";"15K";
"R20";"30.1k";"30.1KOHM1/10W1%(0603)";"0603-RES";"RES-08595";"";"";"RES-08595";"30.1k";
"R21";"43k";"43KOHM1/10W1%(0603)";"0603-RES";"RES-07858";"";"";"RES-07858";"43k";
"R22";"15K";"15KOHM1/10W1%(0603)0603";"0603-RES";"RES-07854";"";"";"RES-07854";"15K";
"R23";"43k";"43KOHM1/10W1%(0603)";"0603-RES";"RES-07858";"";"";"RES-07858";"43k";
"R24";"30.1k";"30.1KOHM1/10W1%(0603)";"0603-RES";"RES-08595";"";"";"RES-08595";"30.1k";
"R25";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R26";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R27";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R28";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R29";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R30";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R31";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R32";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"";"";"RES-08272";"2.2k";
"R33";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"S1";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S2";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S3";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S4";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S5";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S6";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"S7";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"";"SWCH-08179";"DPDT";
"S8";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"";"SWCH-08247";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"";"BC127EXTRA_PASTE";"BC127_XTRA_PASTE";"Blue Creations BC127 BLE module";"";"";"";"";
"U2";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"";"VREG-09872";"MIC5219 3.3V";
"U3";"TPA6138A2";"TPA6138A2";"TSSOP-14";"Headphone driver amp";"";"";"IC-11779";"";
