"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DKPART";"MFR";"MFRPART";"PROD_ID";"REV";"SF_SKU";"VALUE";
"J2";"GND-IN";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J3";"DEBUG";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J4";"QWIIC";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"SparkFun I2C Standard Pinout Header";"";"";"";"";"CONN-13694";"";"";"Qwiic Right Angle";
"J6";"3.3VA";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J7";"3.3V";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J8";"PLAYING";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J9";"CORTEX_JTAG_DEBUG_PTH_NS";"CORTEX_JTAG_DEBUG_PTH_NS";"2X5-PTH-1.27MM-NO_SILK";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";
"J10";"TRIG2";"CONN_08X2_NOSILK";"2X8_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J11";"TRIG1";"CONN_08X2_NOSILK";"2X8_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J13";"";"CONN_05X2NO_SILK";"2X5_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J14";"AUDIO I/O";"CONN_10X2NOSILK";"2X10_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J15";"MIDI";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J16";"USB-C";"USB_C_4-LAYER-ISOLATED";"USB-C-16P-4LAYER-ISOLATED";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";"USB Female Type C Connector";
"J17";"AGND";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"J18";"";"6_PIN_SERIAL_TARGETSILK";"6_PIN_SERIAL_TARGET_SIDE_W_SILK";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";"";"";"";
"JP7";"USD-SOCKETNEW";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"microSD Socket";"";"";"";"";"CONN-07820";"";"";"";
"L1";"10μH";"10μH_SHIELDED_INDUCTOR0805";"0805";"Murata 10uH Inductor";"";"";"";"";"NDUC-13231";"";"";"10μH";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";"";
"LOGO3";"QWIIC_LOGO_4MM";"QWIIC_LOGO_4MM";"QWIIC_4MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";"";"";
"Q1";"3.1A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"TRANS-11308";"";"";"3.1A/30V/105mΩ";
"R1";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"";"";"RES-08270";"";"";"33";
"R2";"1M";"1MOHM-0603-1/4W-5%";"0603";"1MΩ resistor";"";"";"";"";"RES-07868";"";"";"1M";
"R3";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"RES-14241";"";"";"10k";
"R4";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"RES-14241";"";"";"10k";
"R5";"560Ω";"560OHM_0402_TIGHT";"0402-TIGHT";"";"";"";"";"";"RES-13766";"";"";"560Ω";
"R6";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R7";"390";"390OHM-0603-1/10W-1%";"0603";"390Ω resistor";"";"";"";"";"RES-07864";"";"";"390";
"R8";"390";"390OHM-0603-1/10W-1%";"0603";"390Ω resistor";"";"";"";"";"RES-07864";"";"";"390";
"R9";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R10";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R11";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"";"";"";"";"RES-07849";"";"";"240";
"R12";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"";"";"";"";"RES-07849";"";"";"240";
"R14";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R15";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R16";"2.2";"2.2OHM-0603-1/10W-5%";"0603";"2.2Ω resistor";"";"";"";"";"RES-07823";"";"";"2.2";
"R17";"5.62k";"5.62KOHM-0603-1/10W-1%";"0603";"5.62kΩ resistor";"";"";"";"";"RES-09823";"";"";"5.62k";
"R18";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"RES-14241";"";"";"10k";
"R19";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R20";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R21";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R22";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"RES-13495";"";"";"100k";
"R23";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"RES-14241";"";"";"10k";
"R25";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R26";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R27";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R28";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R37";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R38";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R39";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R40";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R41";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R42";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R43";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R44";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R45";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"RES-07861";"";"";"220";
"R46";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"RES-07861";"";"";"220";
"R47";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"RES-07861";"";"";"220";
"R48";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"RES-07861";"";"";"220";
"R49";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"";"";"RES-14340";"";"";"5.1k";
"R50";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"";"";"RES-14340";"";"";"5.1k";
"R51";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"";"";"";"RES-14341";"";"";"2.2k";
"R52";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"";"";"";"RES-14341";"";"";"2.2k";
"R53";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"";"";"";"RES-07863";"";"";"100";
"R54";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"";"";"";"RES-07863";"";"";"100";
"R55";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"RES-07861";"";"";"220";
"R56";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R57";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R58";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"R59";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R60";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R61";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R62";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R63";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R64";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"RES-15128";"";"";"33k";
"R65";"10Ω";"10OHM-0402-1/16W-5%";"0402-TIGHT";"10Ω resistor";"";"";"";"";"RES-16072";"";"";"10Ω";
"S1";"Reset";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-14139";"";"";"";
