"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DESIGNER";"DIGIKEY_PART";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MANU_PART";"MOUSER_PART";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"VALUE";
"C18";"33pF";"33PF-0402-25V-5%-X7R";"0402";"33pF ceramic capacitors";"";"";"";"";"490-5936-1-ND";"Murata";"";"";"GRM1555C1H330JA";"";"";"";"";"CAP-15358";"";"";"33pF";
"C19";"27pF";"27PF-0402-25V-5%-X7R";"0402";"27pF ceramic capacitors";"";"";"";"";"490-11384-1-ND";"Murata";"";"";"GRM1555C1H270JA";"";"";"";"";"CAP-15357";"";"";"27pF";
"C20";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C21";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08913";"";"";"47pF";
"C22";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C23";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C24";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07881";"";"";"15pF";
"C31";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C46";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C51";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"0.1uF";
"C52";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"0.1uF";
"C53";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-13930";"";"";"1.0uF";
"C54";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-13930";"";"";"1.0uF";
"D1";"3.3V";"DIODE-ZENER-MM3Z3V3T1G";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11284";"";"";"3.3V";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"RED";
"D3";"BAS70-05";"DIODE-SCHOTTKY-DUAL";"SOT23-3";"Diodes Incorporated - BAS70-05 Dual Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-14829";"";"";"BAS70-05";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"Yellow";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"Yellow";
"D6";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-14072";"";"";"3A/10V/280mV";
"D7";"1A/15V/220mV";"DIODE-SCHOTTKY-LSM115JE3";"DO-214BA";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-15271";"";"";"1A/15V/220mV";
"D8";"DT1042-04SO-7";"TVS_DIODE_ARRAY_4DT1042-04SO-7";"SOT23-6L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-14095";"";"";"";
"D10";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"";"";"";"PESD0402-140CT-ND";"";"";"";"";"";"";"";"650-PESD0402-140";"DIO-15359";"";"";"";
"D11";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"";"";"";"PESD0402-140CT-ND";"";"";"";"";"";"";"";"650-PESD0402-140";"DIO-15359";"";"";"";
"D12";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"";"GREEN";
"D13";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"BLUE";
"D14";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09004";"";"";"WHITE";
"DSR";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E1";"SPH0641LM4H-1";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1_MICROPHONE";"SPH0641LM4H-1 Microphone";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-14361";"";"";"SPH0641LM4H-1";
"E3";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"SMA-EDGE-SMD";"SMA Antenna Connector w/ Ground";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-15100";"";"";"";
"E4";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"SMA-EDGE-SMD";"SMA Antenna Connector w/ Ground";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-15100";"";"";"";
"EN";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14313";"";"";"6V/2A";
"FB1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-13805";"";"";"30Ω/1.8A";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H5";"STAND-OFF-REFLOW2.5MM_TALL";"STAND-OFF-REFLOW2.5MM_TALL";"STAND-OFF-REFLOW-M2.5";"Stand Off Reflow Compatible";"";"";"";"";"";"";"";"";"";"";"";"";"";"HW-14899";"";"";"";
"IC1";"SN74AVC4T774PW";"SN74AVC4T774PW";"SOP65P640X120-16N";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"SN74AVC4T774PW";"https://www.arrow.com/en/products/sn74avc4t774pw/texas-instruments";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"";"";"";"Texas Instruments";"SN74AVC4T774PW";"";"";"595-SN74AVC4T774PW";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AVC4T774PW?qs=WxL8HmPi5r44hV1AE7gRvg%3D%3D";"";"IC-15360";"";"";"";
"IC2";"SN74AVC4T774PW";"SN74AVC4T774PW";"SOP65P640X120-16N";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"SN74AVC4T774PW";"https://www.arrow.com/en/products/sn74avc4t774pw/texas-instruments";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"";"";"";"Texas Instruments";"SN74AVC4T774PW";"";"";"595-SN74AVC4T774PW";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AVC4T774PW?qs=WxL8HmPi5r44hV1AE7gRvg%3D%3D";"";"IC-15360";"";"";"";
"IC3";"SN74AVC4T774PW";"SN74AVC4T774PW";"SOP65P640X120-16N";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"SN74AVC4T774PW";"https://www.arrow.com/en/products/sn74avc4t774pw/texas-instruments";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"";"";"";"Texas Instruments";"SN74AVC4T774PW";"";"";"595-SN74AVC4T774PW";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AVC4T774PW?qs=WxL8HmPi5r44hV1AE7gRvg%3D%3D";"";"IC-15360";"";"";"";
"J1";"";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";"";
"J2";"JTAG";"CORTEX_JTAG_DEBUG_MINIMUM_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"MICROMOD-2222-C";"MICROMOD-2222-C";"M.2-CONNECTOR-E";"MicroMod Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-14877";"";"";"";
"J5";"SPI";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"DIAG";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J8";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J9";"!RST!";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J10";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J11";"microSD";"MICRO-SD-SDIOPUSH-PUSH";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-07820";"";"";"";
"J12";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J13";"TP";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J14";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J15";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11443";"";"PRT-08612";"";
"J16";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J17";"NANO_SIM";"NANO_SIMWURTH";"NANO_SIM_WURTH_693043020611";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-14097";"";"";"";
"J18";"SARA_USB";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";
"J19";"NI";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP6";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP7";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP8";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP9";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP10";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP11";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP12";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP13";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP14";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP15";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP16";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP17";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP18";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP19";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP20";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"DNP";"INDUCTOR_DNP-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"68nH";"68NH-0402";"0402_COILCRAFT";"";"";"";"";"";"490-2633-1-ND";"";"";"";"";"81-LQG15HS68NJ02D";"";"";"";"NDUC-15356";"";"";"68nH";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LOGO2";"QWIIC_LOGO_CONNECTOR";"QWIIC_LOGO_CONNECTOR";"QWIIC_5.5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LOGO5";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MEAS";"";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q2";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q3";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q4";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q5";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-14399";"";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q6";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRAN-14388";"";"";"20V/4.2A/52mΩ/1.4W";
"Q7";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q8";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q9";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
