"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"PROD_ID1";"REV";"SF_SKU";"VALUE";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"SMT-JUMPER_3_2-NC_TRACE_NO-SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";
"J1";"QWIIC";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";"QWIIC_RIGHT_ANGLE";
"J2";"AVR_SPI_PROG_3X2TESTPOINTS";"AVR_SPI_PROG_3X2TESTPOINTS";"2X3_TEST_POINTS";"AVR ISP 6 Pin";"";"";"";"";"";"";
"J3";"2.4" TFT";"4DLCD-24-320X240";"FPC05040-17204";"4D LCD 4DLCD-24320240-IPS - 2.4" 240x320 TFT LCD";"";"LCD-14913";"CONN-14082";"";"";"2.4" TFT";
"LOGO2";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME_.4";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";
"LOGO3";"QWIIC_LOGO_4MM";"QWIIC_LOGO_4MM";"QWIIC_4MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LS2";"CVS-1508";"SPEAKERCVS-1508";"CVS-1508_PCBSPKR";"Speaker";"";"COM-14823";"";"";"";"CVS-1508";
"Q2";"1.1A/60V/600mΩ";"MOSFET_PCH-SI2309DS";"SOT23-3";"P-channel MOSFETs";"";"TRANS-08285";"";"";"";"1.1A/60V/600mΩ";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"10k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"";"4.7k";
"R3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"";"4.7k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"10k";
"S3";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";"";
"S4";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";"";
"S6";"Joystick";"JOYSTICK_MINI";"JOYSTICK_MINI";"Small Tactile Joystick w/ Select Switch";"";"SWCH-09905";"";"";"COM-10063";"Joystick";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP3";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP4";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP5";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP6";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP7";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP8";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP9";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP10";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP11";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP12";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP13";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP14";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP15";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"U1";"Raspberry Pi Header";"RASPBERRY_PI_40BTM-NOHOLES";"RASPBERRY_PI_SHIELD_BOTTOM_ENTRY_NOHOLES";"";"";"CONN-13790";"";"";"";"Raspberry Pi Header";
"U2";"ADMP401";"ADMP401";"ADMP401";"ADMP401 - Omnidirection Bottom-Port MEMS Microphone";"";"IC-09773";"";"";"";"";
"U3";"ADMP401";"ADMP401";"ADMP401";"ADMP401 - Omnidirection Bottom-Port MEMS Microphone";"";"IC-09773";"";"";"";"";
"U4";"WM8960";"WM8960";"QFN-32";"Cirrus Logic WM890 - Stereo Audio CODEC";"";"IC-14824";"";"";"";"WM8960";
"U5";"ATTINY84";"ATTINY84";"SO14";"Atmel 14-pin 2/4/8kB flash uC";"";"IC-11285";"";"";"";"ATTINY84";
"Y1";"24 MHz";"OSCILLATOR-24MHZ";"RESONATOR-SMD-3.2X2.5";"Abracon 24 MHZ Oscillator";"";"XTAL-14907";"";"";"";"24 MHz";
