"Part";"Value";"Device";"Package";"Description";"BTM_NEG";"BTM_POS";"DESIGNER";"PROD-ID";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";"VERSION";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"";"";"Nobody";"";"";"";"";"";"v01";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";
"J1";"";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"";"";"CONN-11794";"";"";"";"";
"J2";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"";"";"";"";"CONN-08437";"";"";"";"";
"J3";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"";"";"";"";"CONN-08437";"";"";"";"";
"J4";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun has standardized on a pinout for all I2C based sensor breakouts.";"";"";"";"";"";"";"";"";"";
"J5";"";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"-";"+";"";"";"CONN-11443";"-";"+";"";"";
"J6";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";
"J7";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";"";"";"";"";"";"";"";
"JP1";"";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"JUMPER-PAD-3-NC_BY_PASTE";"PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";"";"";"";"";
"L1";"FB - 30 Ohm";"INDUCTOR30OHM,1.8A";"0603";"Inductors";"";"";"";"";"NDUC-07859";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME_.3";"SFE Logo, name and flame";"";"";"";"";"";"";"";"";"";
"LOGO2";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo";"";"";"";"";"";"";"";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3@1";"Generic PMOSFET";"";"";"";"";"TRANS-11308";"";"";"2.5A/30V";"";
"R1";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"";"";"RES-07828";"";"";"100k";"";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"";"";"";"RES-00818";"";"";"330";"";
"R3";"47K";"47KOHM1/10W1%(0603)";"0603-RES";"RES-07871";"";"";"";"";"RES-07871";"";"";"47K";"";
"R4";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"";"";"";"";"RES-07869";"";"";"470";"";
"R5";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"";"";"";"RES-07856";"";"";"1K";"";
"R6";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"";"";"";"";"RES-07869";"";"";"470";"";
"R7";"180";"180OHM1/10W1%(0603)";"0603-RES";"RES-08788";"";"";"";"";"RES-08788";"";"";"180";"";
"R8";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"";"";"";"";"RES-08296";"";"";"2.0k";"";
"R9";"R_PROG";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";"";"";"";"";"";
"R10";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"";"";"RES-07857";"";"";"4.7K";"";
"R11";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"";"";"RES-07857";"";"";"4.7K";"";
"R12";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"";"";"RES-07857";"";"";"4.7K";"";
"R13";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"";"RES-00824";"";"";"10K";"";
"R14";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"";"";"";"RES-00818";"";"";"330";"";
"R15";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"";"";"";"RES-00818";"";"";"330";"";
"R16";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"";"";"";"";"RES-07869";"";"";"470";"";
"S1";"";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-09185";"";"";"";"";
"S2";"";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-09185";"";"";"";"";
"S3";"";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-09185";"";"";"";"";
"S4";"";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-09185";"";"";"";"";
"S5";"";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";"";
"S6";"";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";"";
"S7";"";"SWITCH_SPDT";"KPS-1290";"SWCH-10651";"";"";"";"";"SWCH-10651";"";"";"";"";
"S8";"";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-13065";"";"";"";"";
"TP1";"";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";"";
"TP2";"";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";"";
"TP3";"";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";"";
"TP4";"";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";"";"";"";
"U1";"JOYSTICKPTH";"JOYSTICKPTH";"JOYSTICK";"Thumb Joystick";"";"";"";"";"";"";"";"";"";
"U2";"JOYSTICKPTH";"JOYSTICKPTH";"JOYSTICK";"Thumb Joystick";"";"";"";"";"";"";"";"";"";
"U3";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"";"";"";"";"IC-11920";"";"";"";"";
"U4";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";"";"";"VREG-12457";"";"";"";"";
"U5";"XBEE-2B3";"XBEE-2B3";"XBEE-SMD";"Xbee module footprints";"";"";"";"";"CONN-09042";"";"";"";"";
"U6";"MAX1704X";"MAX1704X";"TDFN-8";"MAX17043/MAX17044: Battery Fuel Guage (43 is 1cell, 44 is 2cell)";"";"";"";"IC-10399";"";"";"";"";"";
"U7";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"";"";"";"IC-09995";"";"";"";"";
"U8";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";"";"";"";"IC-13064";"";"";"";"";
"Y1";"32.768kHz";"CRYSTAL3.2X1.5MM";"CRYSTAL-SMD-3.2X1.5MM";"Various standard crystals. Proven footprints.";"";"";"";"";"XTAL-13062";"";"";"32.768kHz";"";
