"Part";"Value";"Device";"Package";"Description";"BOM";"REV";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"U$55";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"U$56";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"U1";"ESP32-S2-MODULE_MINI";"ESP32-S2-MODULE_MINI";"QFN60_ESP32-S2-MINI-1_EXP";"WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount Check prices";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";
"U4";"BME280";"BME280";"BME280";"BME280 - Environmental Sensor (I2C + SPI)";"";"";
"U5";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_MT_BATT";"JSTPH2_BATT";"";"";"";
"X3";"USB C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";
