"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"RXLED";"YELLOW";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"SW2";"";"SWITCH_SPDT";"SPDT_SMT_SSSS811101";"Switch - SPDT";"";"";"";"";"";
"T1";"DMP3098L";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"unknown";"unknown";
"T2";"DMP3098L";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"unknown";"unknown";
"TXLED";"YELLOW";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";
"U1";"NCP1117ST50T3G";"LM1117SOT223-REFLOW";"SOT223-R";"LM1117 Voltage Regulator";"";"";"";"";"";
"U3";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";"";
"U4";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";
"U5";"LMV358IDGKR";"LMV358MMX";"MSOP08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";
"VSELECT";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";"";"";"";"";
"X2";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"DC Barrel Jack";"";"";"";"";"";
"X3";"20329";"USB_W_SHIELD_V2";"4UCONN_20329_V2";"";"";"";"";"";"";
"Y2";"CSTCE16M0V53-R0 16MHZ";"RESONATORMU";"RESONATOR";"";"";"";"";"";"";
"ZU4";"ATMEGA328P-AU";"ATMEGA328P-AU";"TQFP32-08";"MICROCONTROLLER";"";"";"";"";"";
