"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";"VERSION";"VOLTAGE";
"C14";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"CAP-07883";"";"";"100pF";"";"";
"C15";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"CAP-07883";"";"";"100pF";"";"";
"C16";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"CAP-07883";"";"";"100pF";"";"";
"C17";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"CAP-08280";"";"";"4.7uF";"";"";
"C18";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"";"15pF";"";"";
"C19";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"CAP-07881";"";"";"15pF";"";"";
"C20";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
"C21";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"CAP-14260";"";"";"22uF";"";"";
"C22";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";"";"";
"C23";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"";"";
"C24";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"";"";
"C25";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"CAP-14260";"";"";"22uF";"";"";
"C27";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"";"";
"C28";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
"C29";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"CAP-07886";"";"";"1nF";"";"";
"C30";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
"C31";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"DIO-00821";"";"";"GREEN";"";"";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";"";"";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";"";"";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"DIO-08575";"";"";"BLUE";"";"";
"D5";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D6";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";"";
"D7";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"DIO-00821";"";"";"GREEN";"";"";
"D8";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D9";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";"";"";
"D10";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D11";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D12";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D13";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";"";"";
"D14";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"";"DIO-10955";"";"";"0.5A/40V/420mV";"";"";
"D17";"";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"D41";"";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"DEBUG";"CORTEX_DEBUG";"CORTEX_JTAG_DEBUG_MINIMUM_PTH_NS";"2X5-PTH-1.27MM-NO_SILK";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";
"EN";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"FRAME3";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"v10";"";"";"v10";"";
"FRAME5";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"v10";"";"";"";"";
"GND";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"GPS_RX";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"GPS_TX";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"I2C";"PTH";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";
"J1";"IRIDIUM_9603N";"IRIDIUM_9603N";"IRIDIUM_9603N";"Iridium 9603N Modem";"";"CONN-14689";"";"";"IRIDIUM_9603N";"";"";
"J2";"USB-C";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";"";"";
"J3";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";"";"";
"J4";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J5";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";"";"";
"J6";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"CONN-09193";"";"WRL-09144";"U.FL";"";"";
"J7";"ANTENNA-GROUNDEDEDGE_SMA";"ANTENNA-GROUNDEDEDGE_SMA";"SMA-EDGE";"Antenna w/ Ground Connection";"";"CONN-08289";"";"";"";"";"";
"J8";"STAND-OFF-REFLOW-M2.0_6.0MM_TALL";"STAND-OFF-REFLOW-M2.0_6.0MM_TALL";"STAND-OFF-REFLOW-M2.0";"Stand Off Reflow Compatible";"";"HW-14879";"";"";"";"";"";
"J9";"STAND-OFF-REFLOW-M2.0_6.0MM_TALL";"STAND-OFF-REFLOW-M2.0_6.0MM_TALL";"STAND-OFF-REFLOW-M2.0";"Stand Off Reflow Compatible";"";"HW-14879";"";"";"";"";"";
"J10";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J11";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J13";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"JP1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";
"JP2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"JP7";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"JP8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"JP9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"JP10";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"JP11";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"JP12";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"JP13";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"JP14";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"L1";"2.2uH";"2.2μH_SHIELDED_INDUCTOR";"0806";"Murata 2.2uH Inductor";"";"NDUC-14257";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.3_INCH";"SFE_LOGO_FLAME.3_INCH";"SFE_LOGO_FLAME_.3";"SparkFun Flame Logo";"";"";"";"";"";"";"";
"LOGO4";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";
"MEAS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"Q1";"5.8A/30V/35mΩ";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"TRANS-12988";"";"";"5.8A/30V/35mΩ";"";"";
"Q2";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRANS-14388";"";"";"20V/4.2A/52mΩ/1.4W";"";"";
"Q3";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRANS-14388";"";"";"20V/4.2A/52mΩ/1.4W";"";"";
"Q4";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"TRANS-08049";"";"";"600mA/40V";"";"";
"Q6";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRANS-14388";"";"";"20V/4.2A/52mΩ/1.4W";"";"";
"QWIIC";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";"";"";
"R1";"330";"330OHM-0402T-1/16W-5%";"0402-TIGHT";"330Ω resistor";"";"RES-15407";"";"";"330";"";"";
"R2";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R3";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R4";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"";"5.1k";"";"";
"R5";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R6";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kΩ resistor";"";"RES-10327";"";"";"12k";"";"";
"R7";"30.1k";"30.1KOHM-0603-1/10W-1%";"0603";"30.1kΩ resistor";"";"RES-14690";"";"";"30.1k";"";"";
"R8";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"RES-07828";"";"";"100k";"";"";
"R9";"0.015ohm";"0.015OHM_1%_1/3W_0603";"0603";"0.015Ω resistor (aka 15mOhms)";"";"RES-16305";"";"";"0.015ohm";"";"";
"R10";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"RES-14962";"";"";"100";"";"";
"R11";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"RES-14962";"";"";"100";"";"";
"R12";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R13";"2.0K";"2.0KOHM-0402T-1/16W-1%";"0402-TIGHT";"2kΩ resistor";"";"RES-15406";"";"";"2.0K";"";"";
"R14";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R15";"3.3K";"3.3KOHM-0402T-1/16W-1%";"0402-TIGHT";"3.3kΩ resistor";"";"RES-15923";"";"";"";"";"";
"R16";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R17";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R19";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R20";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"";"5.1k";"";"";
"R21";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R22";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R23";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R24";"20k";"20KOHM-0603-1/10W-1%";"0603";"20kΩ resistor";"";"RES-09383";"";"";"20k";"";"";
"R25";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R26";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"RES-07828";"";"";"100k";"";"";
"R27";"220k";"220KOHM-0603-1/10W-1%";"0603";"220kΩ resistor";"";"RES-08969";"";"";"220k";"";"";
"R28";"2.0K";"2.0KOHM-0402T-1/16W-1%";"0402-TIGHT";"2kΩ resistor";"";"RES-15406";"";"";"2.0K";"";"";
"R29";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";"";"";
"R30";"10K";"10KOHM-0402-1/10W-0.1%";"0402-TIGHT";"10kΩ resistor";"";"RES-16147";"";"";"10K";"";"";
"R31";"20k";"20KOHM-0402T-1/16W-1%";"0402-TIGHT";"20kΩ resistor";"";"RES-14972";"";"";"20k";"";"";
"RX0";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"RX1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-14139";"";"";"";"";"";
"SAFEBOOT";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"SC1+";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"SC1-";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"SC2+";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"SC2-";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"SPI";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"TX0";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"TX1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"U1";"CH340E_MSOP10";"CH340E_MSOP10";"MSOP10";"";"";"IC-14135";"";"";"";"";"";
"U2";"LTC3225EDDB";"LTC3225EDDBDFN300X200-10L";"DFN300X200-10L";"150mA Supercapacitor Charger";"";"IC-14693";"";"";"LTC3225EDDB";"";"";
"U3";"ADM4210_1TSOT6";"ADM4210_1TSOT6";"TSOT6";"Hot Swap Controller";"";"IC-14694";"";"";"";"";"";
"U4";"u-blox_ZOE_M8Q-0-10";"U-BLOX_ZOE_M8Q-0-10";"UBLOX_ZOE_M8-0-10";"UBLOX ZOE-M8Q-0-10";"";"IC-14251";"";"";"";"";"";
"U5";"AS179-92LF";"AS179-92LF";"SOT65P220X100-6N";"SKYWORKS SOLUTIONS - AS179-92LF - IC, SWITCH, RF, SPDT, 0.02-3.0GHZ";"";"IC-15047";"";"";"";"";"";
"U6";"MS8607-02BA01";"MS8607-02BA01";"MS8607-02BA01";"PHT Combination Sensor";"";"IC-15048";"";"";"";"";"";
"U7";"ARTEMIS_MODULESMD";"ARTEMIS_MODULESMD";"ARTEMIS_FP";"Description: The Artemis Module from SparkFun is a Cortex-M4F with BLE 5.0 running up to 96MHz and with as low power as 6uA per MHz (less than 5mW). This is the world's first module to bridge the market between hobbyists and consumer products. We've packaged all the power of a modern microcontroller into a module that is both extremely easy to use but is mass-market ready.";"";"SUB-14402";"";"";"";"";"";
"U8";"V_SUPERVISOR_BD48K24G_2.4V";"V_SUPERVISOR_BD48K24G_2.4V";"SOT23-3";"BD48xxx - Voltage Detector IC";"";"IC-15065";"";"";"";"";"2.4";
"U9";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"IC-09995";"";"";"";"";"";
"U10";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";"";"";
"U11";"74LVC1G04SE";"74LVC1G04SE";"SOT353";"Single Inverter";"";"IC-10843";"";"";"74LVC1G04SE";"";"";
"U12";"74LVC1G08W5-7";"74LVC08_W5-7";"SOT23-5";"Single AND gate";"";"IC-16359";"";"";"74LVC1G08W5-7";"";"";
"VIN/3";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"X1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"XTAL-13062";"";"";"32.768kHz";"";"";
"X2";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"XTAL-13062";"";"";"32.768kHz";"";"";
