"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"J4";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J5";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J6";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J7";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J8";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J9";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J10";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J11";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J12";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J13";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J14";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J15";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J16";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J17";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J18";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"XXX-00000";"";"455-1750-1-ND";
"J19";"QWIIC";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";"";
"J20";"USB C";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"CONN-14122";"";"";
"J21";"RVR";"CONN_04LOCK";"1X04_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";
"JP2";"FUSE BP";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";
"JP3";"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";
"JP4";"PI ISO";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"Q1";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q2";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q3";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"TRAN-14386";"";"";
"Q4";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q5";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q6";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"TRAN-14386";"";"";
"Q7";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q8";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"TRAN-14386";"";"";
"Q9";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q10";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"TRAN-14386";"";"";
"Q11";"";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Dual NPN Transistors in Single Package";"TRANS-13337";"";"";
"Q12";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R3";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"RES-07871";"";"47k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R7";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"RES-07871";"";"47k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R9";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"RES-07871";"";"47k";
"R10";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"RES-12083";"";"5.1k";
"R11";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"RES-12083";"";"5.1k";
"R12";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"330";
"R13";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R14";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"RES-07871";"";"47k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R16";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R17";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"RES-07849";"";"240";
"R18";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"RES-07849";"";"240";
"R19";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R20";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R21";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"S1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"COM-10860";"";
"TP0";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP1";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP2";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP3";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP4";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP5";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP6";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP7";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP8";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP9";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP10";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP11";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP12";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP13";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP14";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP15";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP16";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP17";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP18";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";
"TP19";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";
"TP20";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP21";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP22";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP23";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP24";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP25";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"TP26";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";
"U$1";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";
"U1";"PCA9685";"PCA9685";"TSSOP-28_4MM";"16-channel 12-bit PWM";"IC-12271";"";"PCA9685";
"U2";"SN74LVC1G32DCKR";"7432";"SOT353";"Single OR gate";"IC-10842";"";"SN74LVC1G32DCKR";
"U3";"CH340C";"CH340C";"SO016";"";"IC-14038";"";"";
