"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"R1";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R3";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R4";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R5";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R6";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R8";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R9";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";"";"";"";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";"";
"U$18";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"U$23";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U$34";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"U$35";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"U$42";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"U1";"SIM800H/L";"GSM_SIM800L";"SIM800L";"SIM800K Quad-Band GSM/GPRS Module";"";"";"";"";"";
"U2";"AP2112-3.3K";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";"";"";"";
"X2";"4UCON 20217";"SIM_MICRO";"4UCONN_20217";"Micro SIM Card Holder";"";"";"";"";"";
"X3";"microUSB";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";"";"";
"X4";"uFL";"ANTENNA_U.FL";"U.FL";"U.FL Antenna Connector";"";"";"";"";"";
"X5";"1x2";"87758-0216";"87758-0216";"2 Pin - 2mm Dual Row Single Wafer, Vertical T/H HDR";"";"";"87758-0216";"unknown";"94M1513";
"X6";"1x2";"87758-0216";"87758-0216";"2 Pin - 2mm Dual Row Single Wafer, Vertical T/H HDR";"";"";"87758-0216";"unknown";"94M1513";
"X7";"ANT_2450AT18B100";"ANTENNA_JOHANSON_2450AT18B100";"ANT_2450AT18B100";"Johanson 2.4GHz Chip Antenna (1206 Package)";"";"";"";"";"";
"Y1";"8MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"";
