"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"R12";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R13";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"S1";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S3";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S4";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"SWCH-08247";"";
"SFE-LOGO1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"U$17";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"U$21";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"FOUR_LAYER_WARNING";"Warning text which will appear on both the schematic";"";"";
"U1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"32-Pin Atmega328 part";"IC-09069";"ATMEGA328P";
"U2";"TB6612FNG";"TB6621FNG";"SSOP24";"Toshiba 1A dual motor driver";"IC-09363";"TB6612FNG";
"U3";"MIC5219 5V";"V_REG_MIC52195V";"SOT23-5";"V_REG MIC5219";"VREG-10107";"MIC5219 5V";
"U4";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"VREG-09872";"MIC5219 3.3V";
"U5";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"IC-00870";"";
"U6";"7408SE";"7408SE";"SOT353";"Single 2-input AND gate";"IC-10841";"74LVC1G08SE-7";
"Y1";"16MHz";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"XTAL-08900";"16MHz";
