"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";"VERSION";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C14";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"CAP-11015";"";"";"";"10uF";"";
"C15";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C16";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C17";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"";"";"1.0uF";"";
"C18";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"";"";"1.0uF";"";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"DIO-09003";"";"";"";"Yellow";"";
"D2";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"DIO-14084";"";"";"";"";"";
"D3";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"";"";"DIO-09004";"";"";"";"WHITE";"";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"DIO-08575";"";"";"";"BLUE";"";
"D6";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"";"";"DIO-14084";"";"";"";"";"";
"D7";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"DIO-14072";"";"";"";"3A/10V/280mV";"";
"D8";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"DIO-00821";"";"";"";"GREEN";"";
"D9";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"DIO-14072";"";"";"";"3A/10V/280mV";"";
"D10";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"DIO-00821";"";"";"";"GREEN";"";
"D11";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"DIO-00821";"";"";"";"GREEN";"";
"D12";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"DIO-00819";"";"";"";"RED";"";
"D13";"";"LED-RGBBRG";"LED-TRICOLOR-5050";"LED-RGB";"";"";"";"DIO-16048";"";"";"";"";"";
"D14";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"PESD0402-140CT-ND";"650-PESD0402-140";"DIO-15359";"";"";"";"";"";
"DUAL_OUTPUT";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";
"E1";"SMA";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"SMA-EDGE";"SMA Antenna Connector w/ Ground";"";"";"";"CONN-08289";"";"";"";"";"";
"FB1";"2.66Ω";"FERRITE_BEAD-0402-2.66Ω-1GHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"NDUC-15072";"";"";"";"2.66Ω";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"";"";"";"";"";"v01";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";
"J1";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J2";"";"CONN_04JST-SMD-LOCKING";"JST-4-SMD-1.25MM-LOCKING";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"CONN-15303";"";"";"";"";"";
"J3";"USB Female Type C Connector";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"CONN-14122";"";"";"";"";"";
"J4";"External";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"SparkFun I2C Standard Pinout Header";"";"";"";"CONN-13694";"";"";"";"Qwiic Right Angle";"";
"J5";"USB Female Type C Connector";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"CONN-14122";"";"";"";"";"";
"J6";"Start Base";"CONN_02-JST-2MM-SMT";"JST-2-SMD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"CONN-11443";"";"";"";"";"";
"J7";"Power Switch";"CONN_02-JST-2MM-SMT";"JST-2-SMD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"CONN-11443";"";"";"";"";"";
"J8";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"CONN-11443";"";"PRT-08612";"";"";"";
"J9";"";"CONN_04JST-SMD-LOCKING";"JST-4-SMD-1.25MM-LOCKING";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"CONN-15303";"";"";"";"";"";
"J10";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J11";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J12";"";"CONN_041X04_NO_SILK_NO_POP";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J13";"Internal";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"SparkFun I2C Standard Pinout Header";"";"";"";"CONN-13694";"";"";"";"Qwiic Right Angle";"";
"J14";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J15";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J16";"microSD";"MICRO-SD-SDIOPUSH-PUSH";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"";"";"";"CONN-07820";"";"";"";"";"";
"J17";"Qwiic Right Angle";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";
"J18";"";"CONN_05NO_SILK";"1X05_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"JP21";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP61";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP71";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"JP81";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";"";"";
"MEAS";"";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";"";"";
"MEAS1";"";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";"";"";
"Q2";"MBT3904DW1T1";"TRANS_NPN_DUAL-MBT3904DW1T1";"SC70-6";"Dual NPN Transistors in Single Package";"";"";"";"TRANS-13337";"";"";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"RES-07857";"";"";"";"4.7k";"";
"R2";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"";"";"33";"";
"R3";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"";"RES-08270";"";"";"";"33";"";
"R4";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"";"";"33";"";
"R5";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"RES-08609";"";"";"";"0";"";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"";"";"1k";"";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"";"";"1k";"";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"";"";"1k";"";
"R9";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"";"";"33";"";
"R10";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"";"RES-00818";"";"";"";"330";"";
"R11";"20";"20OHM-0603-1/10W-1%";"0603";"RES-07862";"";"";"";"RES-07862";"";"";"";"20";"";
"R12";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"";"RES-00818";"";"";"";"330";"";
"R13";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"RES-07828";"";"";"";"100k";"";
"R14";"10";"10OHM-0603-1/10W-1%";"0603";"10Ω resistor";"";"";"";"RES-12581";"";"";"";"10";"";
"R15";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"RES-07828";"";"";"";"100k";"";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"";"";"5.1k";"";
"R17";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"";"";"5.1k";"";
"R18";"10k";"NTC-THERMISTOR-0603";"0603";"NTC Thermistor";"";"";"";"RES-13608";"";"";"";"10k";"";
"R20";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"RES-00824";"";"";"";"10k";"";
"R23";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"RES-00824";"";"";"";"10k";"";
"R24";"20";"20OHM-0603-1/10W-1%";"0603";"RES-07862";"";"";"";"RES-07862";"";"";"";"20";"";
"R25";"20";"20OHM-0603-1/10W-1%";"0603";"RES-07862";"";"";"";"RES-07862";"";"";"";"20";"";
"R26";"20";"20OHM-0603-1/10W-1%";"0603";"RES-07862";"";"";"";"RES-07862";"";"";"";"20";"";
"R27";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"RES-09334";"";"";"";"27";"";
"R28";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"RES-09334";"";"";"";"27";"";
"R29";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"RES-00824";"";"";"";"10k";"";
"R30";"150k";"150KOHM-0603-1/10W-1%";"0603";"150kΩ resistor";"";"";"";"RES-09117";"";"";"";"150k";"";
"R34";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"";"RES-00818";"";"";"";"330";"";
"R37";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"";"";"5.1k";"";
"R38";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"";"";"5.1k";"";
"SERIAL1_CONNECTION";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"";"";"SWCH-08179";"";"";"COM-00597";"";"";
"U$2";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";"";"";
"U1";"ESP-WROOM-3232D-NARROW";"ESP-WROOM-3232D-NARROW";"ESP-WROOM-32D-NARROW";"ESP-WROOM-32D - trace antenna (includes keepout)";"";"";"";"IC-15676";"";"";"";"";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"VREG-12457";"";"";"";"3.3V";"";
"U3";"U-BLOX_ZED-F9P";"U-BLOX_ZED-F9P";"ZED-F9P";"";"";"";"";"IC-14209";"";"";"";"";"";
"U4";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"VREG-12457";"";"";"";"3.3V";"";
"U6";"CH340C";"CH340C";"SO016";"";"";"";"";"IC-14038";"";"";"";"";"";
"U7";"MAX17048";"MAX17048DFN8";"DFN-8";"Micropower 1-Cell Li+ ModelGauge";"";"";"";"IC-12551";"";"";"";"MAX17048";"";
"U10";"MCP73833";"MCP73833";"DFN-10";"";"";"";"";"IC-14369";"";"";"";"MCP73833";"";
"ZED_CONTROL";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"";"";"SWCH-08179";"";"";"COM-00597";"";"";
