"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"R6";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R7";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R9";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R11";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R12";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"RES-07849";"";"";"240";
"R13";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R15";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R17";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R19";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"RES-07863";"";"";"100";
"R21";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"R22";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"R23";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"1k";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"SWCH-08179";"";"COM-00597";"";
"S3";"";"SWITCH-SPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Single Pole, Double Throw (SPDT) Switch";"SWCH-08179";"COM-00597";"";"";
"U1";"TPS63070";"TPS63070RNM";"TPS63070RNM";"The TPS6307x is a high efficiency, low quiescent";"IC-13858";"";"";"TPS63070";
"U2";"micro:bit";"MICRO:BITLEDS_UP";"MICRO:BIT_RA_PTH";"BBC MICRO_BIT with 5x5 LED array facing the direction noted in the variant.";"CONN-13452";"";"";"micro:bit";
"U3";"TXB0104";"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";"IC-13929";"";"";"TXB0104";
"U4";"ADJ REG 1.5A";"GATORBIT_LM317";"SOT223";"";"VREG-12029";"";"";"ADJ REG 1.5A";
