"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"JP2";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";
"JP3";"ARDUINO_R3_SHIELDNOLABELS";"ARDUINO_R3_SHIELDNOLABELS";"UNO_R3_SHIELD_NOLABELS";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";
"JP4";"U.FL";"U.FL";"U.FL";"SMD antenna connector- WRL-09144";"";"CONN-09193";"U.FL";"";
"L1";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"L2";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"Q2";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"R1";"12k";"12KOHM-1/10W-1%(0603)";"0603-RES";"RES-10327";"";"RES-10327";"12k";"";
"R2";"200";"200OHM1/10W1%(0603)";"0603-RES";"RES-08220";"";"RES-08220";"200";"";
"R3";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R4";"200";"200OHM1/10W1%(0603)";"0603-RES";"RES-08220";"";"RES-08220";"200";"";
"R5";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R6";"200";"200OHM1/10W1%(0603)";"0603-RES";"RES-08220";"";"RES-08220";"200";"";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R8";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R9";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R10";"0";"0OHM1/10W5%(0603)";"0603";"RES-08609";"";"RES-08609";"0";"";
"R11";"DNP";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R12";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R13";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R14";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"S1";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"SWCH-08179";"DPDT";"";
"S2";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";
"SJ1";"";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";
"SJ2";"";"JUMPER-PTH-2-NO";"PTH-JUMPER-2-NO_NO_SILK";"";"";"";"";"";
"SJ3";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"SJ4";"";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP3";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP4";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP5";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP6";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP7";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U1";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"VREG-12457";"";"";
"U2";"ESP8266";"ESP8266";"QFN32";"Espressif ESP8266";"";"IC-12452";"";"";
"U3";"AT25SF041-SOIC8";"AT25SF041-SOIC8";"SO08";"SPI Serial Flash Memory with Dual/Quad-IO Support";"";"IC-12455";"";"";
"Y1";"26MHz";"CRYSTAL-GROUNDED3.2X2.5";"CRYSTAL-SMD-3.2X2.5";"";"";"XTAL-12454";"";"";
