"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_SKU";"VALUE";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP7";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"K1";"RELAY-SPDT-JZC-11F";"RELAY-SPDT-JZC-11F";"RELAY-JZC";"SPDT Electromechanical Relay";"";"COMP-09533";"";"COM-00100";"";
"K2";"RELAY-SPDT-JZC-11F";"RELAY-SPDT-JZC-11F";"RELAY-JZC";"SPDT Electromechanical Relay";"";"COMP-09533";"";"COM-00100";"";
"K3";"RELAY-SPDT-JZC-11F";"RELAY-SPDT-JZC-11F";"RELAY-JZC";"SPDT Electromechanical Relay";"";"COMP-09533";"";"COM-00100";"";
"K4";"RELAY-SPDT-JZC-11F";"RELAY-SPDT-JZC-11F";"RELAY-JZC";"SPDT Electromechanical Relay";"";"COMP-09533";"";"COM-00100";"";
"L1";"15uH";"INDUCTOR-LQH5B-15UH";"INDUCTOR_15UH";"Inductors";"";"NDUC-15090";"";"";"15uH";
"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"TRANS-08049";"";"";"600mA/40V";
"Q2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"TRANS-08049";"";"";"600mA/40V";
"Q3";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"TRANS-08049";"";"";"600mA/40V";
"Q4";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"TRANS-08049";"";"";"600mA/40V";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R2";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"RES-08609";"";"";"0";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R4";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"RES-08609";"";"";"0";
"R5";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kΩ resistor";"";"RES-10327";"";"";"12k";
"R6";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"RES-08296";"";"";"2.0k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R8";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"RES-08609";"";"";"0";
"R9";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R10";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"RES-08609";"";"";"0";
"R11";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R12";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";
"R13";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";
"R14";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";
"R15";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";
"R16";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"RES-00818";"";"";"330";
"R17";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"U1";"LMR14010A";"LMR14010A";"SOT23-6";"LMR14010A Buck Regulator 1A Output";"";"IC-15089";"";"";"";
"U2";"DUAL-OPTOISOLATOR_SOIC8";"DUAL-OPTOISOLATOR_SOIC8";"SO08";"Optocoupler, Phototransistor Output, Dual Channel";"";"IC-09076";"";"";"";
"U3";"DUAL-OPTOISOLATOR_SOIC8";"DUAL-OPTOISOLATOR_SOIC8";"SO08";"Optocoupler, Phototransistor Output, Dual Channel";"";"IC-09076";"";"";"";
"U4";"ATTINY84-ARDUINO";"ATTINY84-ARDUINO";"SO14";"";"";"IC-14155";"";"";"";
