"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"JP28";"D_RAIL6";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP29";"D_RAIL6";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP30";"D_RAIL6";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP31";"D_RAIL7";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP32";"D_RAIL7";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP33";"D_RAIL7";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP34";"D_RAIL8";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP35";"D_RAIL8";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP36";"D_RAIL8";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP37";"D_RAIL9";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP38";"D_RAIL9";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP39";"D_RAIL9";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP40";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP41";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP42";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP43";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP44";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP45";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP46";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP47";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP48";"D_RAIL18";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP49";"D_RAIL17";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP50";"D_RAIL17";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP51";"D_RAIL17";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP52";"D_RAIL16";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP53";"D_RAIL16";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP54";"D_RAIL16";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP55";"D_RAIL15";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP56";"D_RAIL15";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP57";"D_RAIL15";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP58";"D_RAIL14";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP59";"D_RAIL14";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP60";"D_RAIL14";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP61";"D_RAIL13";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP62";"D_RAIL13";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP63";"D_RAIL13";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP64";"D_RAIL12";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP65";"D_RAIL12";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP66";"D_RAIL12";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP67";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP68";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP69";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP70";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP71";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP72";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP73";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP74";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP75";"D_RAIL10";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP76";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP77";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP78";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP79";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP80";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP81";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP82";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP83";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP84";"D_RAIL11";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";
"JP_2";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP_3";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP_4";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"L1";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";"";
"L2";"";"LED3MM";"LED_3MM";"LED (Generic)";"DIO-08794";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";
"R1";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330Ω resistor";"RES-8371";"";"330";
"R2";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330Ω resistor";"RES-8371";"";"330";
"R4";"10k";"10KOHM-HORIZ-1/4W-5%";"AXIAL-0.3";"10kΩ resistor";"RES-09435";"";"10k";
"S4";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"SJ1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"SJ2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"SJ3";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"SJ4";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";
"SW2";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"U$1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";
"U$2";"REVISION";"REVISION";"REVISION";"";"";"";"";
"VDD_RAIL";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";
