"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"JP19";"1x2";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";
"JP20";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP21";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP22";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP23";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP24";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP25";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP26";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP27";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP28";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP29";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP30";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP31";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP32";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP33";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP34";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP35";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP36";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP37";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP38";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP39";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP40";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP41";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP42";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP43";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP44";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP45";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP46";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP47";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP48";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP49";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP50";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP51";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP52";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP53";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP54";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP55";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP56";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP57";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP58";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP59";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP60";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP61";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP62";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP63";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP64";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP65";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP66";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP67";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP68";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP69";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP70";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP71";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP72";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP73";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP74";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP75";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP76";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP77";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP78";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP79";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP80";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP81";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP82";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP83";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP84";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP85";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP86";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP87";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP88";"1x5";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP89";"v";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";"";
"JP90";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP91";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP92";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP93";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP94";"1x30";"M30NO_SILK";"1X30_NO_SILK";"1x30 .1" header";"";"";"";
"JP95";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP96";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP97";"1x3";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";
"LOGO2";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"R1";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"";"1M";
"R2";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"";"1M";
"R3";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"";"1M";
"R4";"BRT";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";
"R5";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"S1";"SWITCH-3PDT";"SWITCH-3PDT";"STOMP-SWITCH-3PDT";"Three-pole, double-throw stomp switch.";"SWCH-13197";"";"";
"SJ1";"disable LED";"JUMPER-PAD-2-NC_BY_PASTEFULL-BOX-SILK";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"TP1";"Raw In";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP2";"Raw Out";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP3";"Out Ring";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP4";"In Ring";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP5";"FX Input";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP6";"FX Output";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"TP7";"Out Ring";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";"";"";
