"Part";"Value";"Device";"Package";"Description";"24AA";
"R4";"1K1";"RESISTOR-0603";"R603";"";"";
"R5";"1K1";"RESISTOR-0603";"R603";"";"";
"R6";"1K1";"RESISTOR-0603";"R603";"";"";
"R7";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"10K";"RESISTOR-0603";"R603";"";"";
"R14";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"RESET";"SMD_TACT_SMALL";"SMD_TACT_SMALL";"TACT_SWITCH_SMALL";"";"";
"RN1";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"USB";"USB mini-b";"CON-USB-MINI-BUSB1";"CONN_USB_MINI-B";"USB connector";"";
"VR1";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR2";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR3";"MCP1801T-5002I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"X1";"CRYSTAL_212M_";"CRYSTAL_212M_";"4X6";"";"";
