"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SKU";"VALUE";
"LOGO2";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME_.3";"SparkFun Font Logo w/ Flame";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";
"LOGO4";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo";"";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"Q2";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"TRANS-11151";"";"";
"R1";"3.9K";"3.9KOHM1/10W1%(0603)";"0603";"RES-08701";"RES-08701";"";"3.9K";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R3";"PROG";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";
"R4";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"100k";
"R5";"47K";"47KOHM1/10W1%(0603)";"0603-RES";"RES-07871";"RES-07871";"";"47K";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R7";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R10";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R11";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R12";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"";"100k";
"S1";"";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-14139";"";"";
"SJ1";"PWR-LED";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";"";
"U2";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"IC-11920";"";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"";"3.3V";
"U4";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"IC-13064";"";"";
"U5";"W25Q32FV";"W25Q32FVSS";"SOIC-8";"W25Q32FV 32Mb (4MB) Serial Flash Memory";"IC-13229";"";"W25Q32FV";
"Y1";"32.768kHz";"CRYSTAL3.2X1.5MM";"CRYSTAL-SMD-3.2X1.5MM";"Various standard crystals. Proven footprints.";"XTAL-13062";"";"";
