"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U$1";"REVISION";"REVISION";"REVISION";"";"";"";"";"";
"U1";"USD-SOCKET";"USD-SOCKET";"MICROSD_1:1";"microSD Socket";"";"CONN-07820";"";"";
"U2";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";
"U3";"JST_VERTICAL";"JST_VERTICAL";"JST-6-SMD-VERT-1.0MM";"";"";"CONN-08249";"";"";
"U4";"MCP2515";"MCP2510SO";"SO-18W";"CAN controller with SPI interface to any MCU.";"";"IC-09906";"";"";
"U5";"MCP2551";"MCP2551";"SO08";"CAN transceiver";"";"IC-09907";"";"";
"U6";"HEX_CONVERTER";"HEX_CONVERTER";"SO016";"74HC4050 Hex Buffer Level Shifter SMD SO016";"";"IC-09604";"";"";
"U7";"";"JOYSTICK_MINI";"JOYSTICK_MINI";"Small 5-way tactile joystick, COM-10063";"";"SWCH-09905";"";"";
"X1";"DB9 Plug";"DB9MALE";"DB9_MALE";"DB9 Connector";"";"CONN-09904";"";"";
