"Part";"Value";"Device";"Package";"Description";"DESC";"MANUF";"PARTNUM";"SUPPLIER";"VALSTAT";
"IC1";"SCANTOOL";"SCANTOOL";"_STN_SCANTOOL_QFN-28-S";"STN1110 - Multiprotocol OBD II to UART Interpreter, QFN Package";"";"";"";"";"";
"IC3";"LM339PWR";"LM339PWR";"TSSOP-14";"Quad Differential Comparators";"IC, Quad Comparator";"Texas Instruments";"LM339PWR";"Digikey:296-6607-1-ND";"PARTNUM";
"IC4";"MCP2551";"MCP2551-I/SN";"SO-8";"CAN Driver";"IC, CAN Transceiver";"Microchip Technology";"MCP2551-I/SN";"Digikey:MCP2551-I/SN-ND";"PARTNUM";
"JP1";"";"M08";"1X08";"Header 8";"";"";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP3";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP6";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP7";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP8";"DNP";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic: 3.3V and 5V";"";"";"";"";"";
"JP9";"DNP";"M02PTH";"1X02";"Header 2";"";"";"";"";"";
"JP10";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"LED1";"YELLOW";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";
"LED2";"RED";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";
"LED3";"YELLOW";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";
"LED4";"RED";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";
"LED5";"RED";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";
"Q3";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";"";
"Q4";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";"";
"Q7";"ZXMP6A13FTA";"MOSFET-PCHANNEL";"SOT23";"";"";"";"";"";"";
"Q8";"MMBT2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";"";
"Q9";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"";"";"";
"Q10";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"";"";"";
"R1";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R2";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R3";"62K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R4";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R5";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R6";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R7";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R8";"510 0.5W";"R-US_2010";"2010";"Resistor, US Symbol";"Resistor";"";"";"";"VAL";
"R9";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R10";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R11";"510 0.5W";"R-US_2010";"2010";"Resistor, US Symbol";"Resistor";"";"";"";"VAL";
"R12";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R13";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R14";"100";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R15";"100";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R16";"4.7k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R17";"1.2k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R18";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R19";"866";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R20";"240";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R21";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R22";"374";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R23";"4.7k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R24";"1.5k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R25";"4.7k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R27";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R28";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R29";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R30";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R31";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R32";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R33";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R34";"1.5k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R35";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"R37";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";
"U$1";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";"";"";"";"";
"U$14";"OSHW-LOGO";"OSHW-LOGO";"OSHW-LOGO";"";"";"";"";"";"";
"U1";"3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";"";"";"";
"U2";"V_REG_317DPACK";"V_REG_317DPACK";"V-REG_DPACK";"Voltage Regulator";"";"";"";"";"";
"U3";"5V Reg.";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";"";"";"";
"X2";"Male DB9";"DB9MALE";"DB9_MALE";"DB9 Connector";"";"";"";"";"";
"Y1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Crystals";"";"";"";"";"";
