"Part";"Value";"Device";"Package";"Description";"SFENUM";
"U$1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U$2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$6";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
"U1";"ATMEGA328";"AVR-MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"U2";"MIC5219-3.3BM5";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"VREG-9872";
"U3";"FT232RL";"FT232RL-BASICSSOP";"SSOP28DB";"USB UART";"";
"U4";"SHT15";"SHT1XSMD";"SHT1X";"SHT1x Humdity Sensor";"";
"U5";"BMP085";"BMP085";"BMP085";"BMP085 Pressure Sensor Great little MEMS pressure sensor. SKU: COM-09603";"";
"U6";"TEMT6000";"TEMT6000";"TEMT6000-SEN";"Ambient Light Sensor";"";
"Y1";"8MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";
