"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"STOREFRONT_SKU";"VALUE";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"";"";"10k";
"R2";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"RES-07871";"";"";"";"";"47k";
"R3";"DNP";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";" ";"";"";"";"";" ";
"R4";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"";"RES-07849";"";"";"";"";"240";
"R5";"390";"390OHM-0603-1/10W-1%";"0603";"390Ω resistor";"";"RES-07864";"";"";"";"";"390";
"R6";"8.2k";"8.2KOHM-0603-1/10W-5%";"0603";"8.2kΩ resistor";"";"RES-10646";"";"";"";"";"8.2k";
"R7";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R8";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R9";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R10";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R11";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R12";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"";"";"22k";
"R13";"0";"0OHM-0603-1/10W-5%";"0603";"0Ω resistor";"";"RES-08609";"";"";"";"";"0";
"R14";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"";"";"1k";
"S1";"";"SWITCH-SPDT-PTH-11.6X4.0MM-LOCK";"SWITCH_SPDT_PTH_11.6X4.0MM_LOCK";"Single Pole, Double Throw (SPDT) Switch";"";"SWCH-08261";"";"";"COM-00102 ";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";
"U$41";"PRODRIVER_LOGO";"PRODRIVER_LOGO";"PRODRIVER_LOGO";"";"";"";"";"";"";"";"";
"U1";"TC78H670FTG";"TC78H670FTG";"P-VQFN16-0303-0.50-001";"Toshiba TC78H670FTG Stepper Motor Driver";"";"IC-15170";"";"";"";"";"TC78H670FTG";
"U2";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";"";"";
"VR1";"10k";"TRIMPOT-SMD-3MM-CLOSED-1/8W-20%";"TRIMPOT-SMD-3MM-CLOSED";"Trimming Potentiometer (Trimpot)";"";"RES-09285";"";"";"";"";"10k";
