"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MP";"PACKAGE";"PRICE";
"C19";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C20";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C21";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C23";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C24";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C25";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C26";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C27";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C28";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C29";"4.7uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C30";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C31";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"CHG1";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"CONN1";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";"";"";"";"";"";"";
"D1";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";
"D2";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"D3";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"D4";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"D5";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";"";"";"";"";
"D6";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";
"EINK2";"EINK_24PIN_290IN";"EINK_24PIN_290IN";"EINK_290IN";"";"";"";"";"";"";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID4";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID5";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"FID6";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";
"IC2";"PAM8301";"PAM8301";"SOT23-6";"";"";"";"";"";"";"";"";"";
"IC4";"LIS3DH";"ACCEL_LIS3DHTR";"LGA16_3X3MM";"LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface";"";"";"";"";"";"";"";"";
"JP2";"UART";"HEADER-1X2ROUND";"1X02_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";
"L";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"L1";"10uH";"INDUCTORNR401";"INDUCTOR_4X4MM_NR401";"Inductors";"";"";"";"";"";"";"";"";
"LED2";"WS2812B_4020";"WS2812B_4020";"WS2812B_4020";"";"";"";"";"";"";"";"";"";
"LED3";"WS2812B_4020";"WS2812B_4020";"WS2812B_4020";"";"";"";"";"";"";"";"";"";
"LED4";"WS2812B_4020";"WS2812B_4020";"WS2812B_4020";"";"";"";"";"";"";"";"";"";
"LED5";"WS2812B_4020";"WS2812B_4020";"WS2812B_4020";"";"";"";"";"";"";"";"";"";
"ON";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";
"Q1";"DMG3415U-7";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q2";"DMG3415";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q3";"DMG3415U-7";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q5";"IRLML0100";"IRLML2060TRPBF";"SOT23-3";"";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R3";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R4";"5.1k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R5";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R6";"47K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R9";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R10";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R11";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R12";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R13";"0.47ohm";"RESISTOR0805_10MGAP";"0805_10MGAP";"Resistors";"";"";"";"";"";"";"";"";
"R14";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R15";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R16";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R17";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R18";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R19";"47K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R20";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R21";"DNP";"RESISTOR0805_10MGAP";"0805_10MGAP";"Resistors";"";"";"";"";"";"";"";"";
"R22";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R23";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R24";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R25";"DNP";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R26";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R27";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"SENSE";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";"";"";"";"";"";
"SENSE1";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";"";"";"";"";"";
"SJ2";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";"";"";"";"";"";"";"";
"SP1";"7.5mm SPK";"SPEAKER_7.5MM";"BUZZER_SMT_7.5MM";"SPEAKER Source: BuerklinAdded PS12 (for part # PS1240 piezo) http://www.ladyada.net/library/pcb/eaglelibrary.html";"";"";"";"";"";"";"";"";
"SW1";"RA_TACT";"SWITCH_SPST_TACT_RA";"SPST_TACTILE_RA";"Switch - SPST";"";"";"";"";"";"";"";"";
"SW2";"";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW3";"RA_TACT";"SWITCH_SPST_TACT_RA";"SPST_TACTILE_RA";"Switch - SPST";"";"";"";"";"";"";"";"";
"SW4";"SPDT R/A";"SWITCH_SPDT";"SPDT_SMT_SSSS811101";"Switch - SPDT";"";"";"";"";"";"";"";"";
"SW5";"";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW6";"";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW7";"";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP2";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP3";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP4";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP5";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP6";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP7";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP8";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"U1";"";"PHOTOTRANSISTOR_PT19-315C";"ALS-PT19-315C";"ALS-PT19-315C - Analog Light Sensor";"";"";"";"";"";"";"";"";
"U2";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";
"U3";"ESP32-S2-WROVER";"ESP32-S2-WROVER";"MODULE_ESP32-S2-WROVER";"WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount Check prices";"Warning";"";" WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount ";"https://snapeda.com/shop?store=DigiKey&id=4614060";"Espressif Systems";"ESP32-S2-WROVER";"VFQFN-56 Espressif Systems";"None";
"U4";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_BATT";"JSTPH2_BATT";"JST 2-Pin Right-Angle Connector";"";"";"";"";"";"";"";"";
"X4";"USB C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";
