"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"J8";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J9";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J10";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J11";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J12";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J13";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J14";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";
"J15";"AMP FCI 10103594-0001LF";"USB_MICRO-B_HALF_PTH";"USB-MICROB-PTH";"USB Type Micro-B Connector";"CONN-13711";"";"";"AMP FCI 10103594-0001LF";
"J16";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"CONN-11443";"PRT-08612";"";"";
"JP1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"LED2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"";"Yellow";
"LED3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"";"GREEN";
"LED4";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LED5";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LED6";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LED7";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LED8";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LED9";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"DIO-09004";"";"";"WHITE";
"LOGO1";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";
"LOGO6";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"R1";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"330";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"10k";
"R4";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"RES-12427";"";"";"22";
"R5";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"RES-12427";"";"";"22";
"R6";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"";"";"2.2k";
"R7";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"330";
"R8";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R9";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R10";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R11";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R12";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R13";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"RES-13829";"";"";"470";
"R14";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"330";
"R15";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"RES-12427";"";"";"22";
"R16";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"RES-12427";"";"";"22";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"SWCH-08179";"";"COM-00597";"";
"S2";"!RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-08247";"";"COM-08720";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP6";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP7";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"TP8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";
"U$1";"LILYLOGO_SHORT";"LILYLOGO_SHORT";"LILYPAD-WEARABLES_LOGO-LILYPAD";"";"";"";"";"";
"U$13";"LILYLOGO_SHORT";"LILYLOGO_SHORT";"LILYPAD-WEARABLES_LOGO-LILYPAD";"";"";"";"";"";
"U$44";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";"";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"";"";"3.3V";
"U5";"32U4";"ATMEGA32U4_NOARDQFN3";"QFN-44-PAD_1:1-LESS_PASTE";"Atmel MCU, 32KByte";"IC-10828";"";"";"32U4";
"Y1";"8MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"XTAL-08895";"";"";"";
