"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY";"PROD_ID";"REV";"SF_ID";"VALUE";
"J25";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J26";"PTH";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";
"R1";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"RES-00818";"";"";"330";
"R2";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"RES-00818";"";"";"330";
"R3";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"RES-00818";"";"";"330";
"R4";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"RES-00818";"";"";"330";
"R5";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"";"RES-00818";"";"";"330";
"R6";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"RES-12083";"";"";"5.1k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"RES-12083";"";"";"5.1k";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"RES-00824";"";"";"10k";
"R12";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"RES-00824";"";"";"10k";
"R13";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"RES-00824";"";"";"10k";
"R16";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"RES-08270";"";"";"33";
"R18";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"RES-08270";"";"";"33";
"R19";"5.62k";"5.62KOHM-0603-1/10W-1%";"0603";"5.62kΩ resistor";"";"";"RES-09823";"";"";"5.62k";
"R20";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"RES-00824";"";"";"10k";
"S2";"TGT_RST";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"SWCH-14139";"";"";"";
"TGT_BOOT";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"TGT_SWD_CLK";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"TP1";"INTFC_SWDIO";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"INTFC_SWDCLK";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"U1";"DAPLINK_KL26Z128VFM4";"DAPLINK_KL26Z128VFM4";"QFN-32-NOPAD";"Unfinished!";"";"";"IC-15168";"";"";"";
"U2";"ARTEMIS_MODULESMD";"ARTEMIS_MODULESMD";"ARTEMIS_FP";"Description: The Artemis Module from SparkFun is a Cortex-M4F with BLE 5.0 running up to 96MHz and with as low power as 6uA per MHz (less than 5mW). This is the world's first module to bridge the market between hobbyists and consumer products. We've packaged all the power of a modern microcontroller into a module that is both extremely easy to use but is mass-market ready.";"";"";"SUB-14479";"";"";"";
"U3";"LIS2DH12";"LIS2DH12";"LGA-12-LISDH12";"";"";"497-14851-2-ND";"IC-14229";"";"";"";
"U4";"AP2127K-1.8V";"V_REG_AP2127K-1.8V";"SOT23-5";"AP2127 - 300mA CMOS LDO Regulator w/ Enable";"";"";"VREG-14239";"";"";"AP2127K-1.8V";
"U5";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"VREG-12457";"";"";"3.3V";
"X1";"16MHz";"CRYSTAL-16MHZ_SMALL";"CRYSTAL-SMD-2X2.5MM";"16 MHz Crystal";"";"";"XTAL-14664";"";"";"16MHz";
"Y1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"";"XTAL-13062";"";"";"32.768kHz";
