"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
"H5";"STAND-OFF-REFLOW-M2.5_2.5MM_TALL";"STAND-OFF-REFLOW-M2.5_2.5MM_TALL";"STAND-OFF-REFLOW-M2.5";"Stand Off Reflow Compatible";"";"";"";"HW-14899";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"CONN-14122";"";"";
"J3";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"CONN-14122";"";"";
"J4";"U.FL";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"SMA-EDGE";"SMA Antenna Connector w/ Ground";"";"";"";"CONN-08289";"";"";
"J5";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"J6";"MICROMOD-2222-C";"MICROMOD-2222-C";"M.2-CONNECTOR-E";"MicroMod Connector";"";"";"";"CONN-14877";"";"";
"J7";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J8";"JTAG";"CORTEX_JTAG_DEBUG_MINIMUM_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";
"J9";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J10";"";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME.3_INCH";"SFE_LOGO_NAME_FLAME_.3";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"MEAS";"JUMPER-COMBO_2_NC_TRACE";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";
"PPS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R2";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"5.1k";
"R3";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"5.1k";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R5";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"RES-07828";"";"100k";
"R6";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"5.1k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"RES-12083";"";"5.1k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"RES-00824";"";"10k";
"R10";"20k";"20KOHM-0603-1/10W-1%";"0603";"20kΩ resistor";"";"";"";"RES-09383";"";"20k";
"R11";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"33";
"R12";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"33";
"R13";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"RES-15081";"";"33";
"R15";"27OHM";"27OHM";"0402-TIGHT";"27Ω resistor";"";"";"";"RES-15238";"";"";
"R16";"27OHM";"27OHM";"0402-TIGHT";"27Ω resistor";"";"";"";"RES-15238";"";"";
"R17";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"";"RES-08270";"";"33";
"R19";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R20";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R21";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R22";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"RES-07828";"";"100k";
"R24";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"RES-07851";"";"3.3k";
"RTK";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"S1";"Reset";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"SWCH-14139";"";"";
"S2";"BOOT";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"SWCH-14139";"";"";
"SPI";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"TP3";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";
"U1";"U-BLOX_ZED-F9P";"U-BLOX_ZED-F9P";"ZED-F9P";"";"";"";"";"IC-14209";"";"";
"U5";"AP7361C-33";"AP7361C-33FGEUDFN-8";"UDFN-8";"AP7361C 3.3V LDO Regulator";"";"";"";"VREG-14094";"";"";
"VIN";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
