"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"PROD_ID";"REV";"VALUE";
"J1";"";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"CONN-14122";"";"";
"J2";"MICRO-SD-PUSH-PUSH-EXT-PIN";"MICRO-SD-PUSH-PUSH-EXT-PIN";"MICROSD-EXTERNALPIN";"microSD Socket for Transflash";"";"";"CONN-16110";"";"";
"J3";"AVR_SPI_PROG_3X2TESTPOINTS";"AVR_SPI_PROG_3X2TESTPOINTS";"2X3_TEST_POINTS";"AVR ISP 6 Pin";"";"";"";"";"";
"J4";"THING_PLUS";"THING_PLUS";"THING_PLUS";"";"";"";"";"";"";
"JP1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"JP3";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"JP4";"USB_SOLDER_PADS";"USB_SOLDER_PADS";"USB-SOLDER-PADS";"Solder pad access to USB pins. Helpful to expose on PCBs so user can attach external USB connector if necessary.";"";"";"";"";"";
"LED1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"LED2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO3";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO5";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"MICROSD_VCC";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"Q1";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q2";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C002UNTCL";"SOT-416FL";"N-channel MOSFETs";"";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q3";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q4";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q5";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"";"";"TRANS-14386";"";"";
"Q6";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";
"Q7";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"";"";"TRANS-14386";"";"";
"R1";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R2";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R3";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R4";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R5";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R6";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R7";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R8";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"";"RES-14342";"";"1k";
"R9";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R10";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"RES-14340";"";"5.1k";
"R11";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"RES-14340";"";"5.1k";
"R12";"1M";"1MOHM-0402T-1/16W-5%";"0402-TIGHT";"1MΩ resistor";"";"";"RES-15185";"";"1M";
"R13";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R14";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R15";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R16";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kΩ resistor";"";"";"RES-10327";"";"12k";
"R17";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"";"RES-14342";"";"1k";
"R18";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"";"RES-14341";"";"2.2k";
"R19";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"";"RES-14341";"";"2.2k";
"R20";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R21";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R22";"1M";"1MOHM-0402T-1/16W-5%";"0402-TIGHT";"1MΩ resistor";"";"";"RES-15185";"";"1M";
"R23";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"RES-13495";"";"100k";
"R24";"1M";"1MOHM-0402T-1/16W-5%";"0402-TIGHT";"1MΩ resistor";"";"";"RES-15185";"";"1M";
"R25";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R26";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"RES-14962";"";"100";
"R27";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"RES-14962";"";"100";
"R28";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"RES-14962";"";"100";
"R29";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"R30";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"RES-14241";"";"10k";
"RXD";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"SDIO_!RESET!";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"SDIO_VDD";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";
"SH";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";
"TXD";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"U1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"VREG-12457";"";"3.3V";
"U2";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"14-QFN";"Nexperia Quad Bilateral Switch";"";"";"IC-16528";"";"";
"U3";"ATTINY841-ARDUINO_QFN20M1";"ATTINY841-ARDUINO_QFN20M1";"QFN20_20M1";"ATtiny841";"";"ATTINY841-MU-ND";"IC-16067";"";"";
"U4";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"14-QFN";"Nexperia Quad Bilateral Switch";"";"";"IC-16528";"";"";
"U5";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"74HC4066_QUAD_BILATERAL_SWITCH_QFN";"14-QFN";"Nexperia Quad Bilateral Switch";"";"";"IC-16528";"";"";
"U6";"24C04";"EEPROM-I2C256K";"SO08";"I2C EEPROMs, 24LC256 and others";"";"";"IC-09714";"";"24LC256";
"Y1";"24MHz";"CRYSTAL-24MHZ-SMD-2.0X1.6MM";"CRYSTAL-SMD-2.0X1.6MM";"24MHz Crystal";"";"";"XTAL-14845";"";"24MHz";
