"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"F1";"PTC";"PTCTHERMISTOR1206";"PTC-1206";"Resettable Fuse PTC";"";"RES-08585";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"v01";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";
"J1";"POWER_JACKTOE";"POWER_JACKTOE";"POWER_JACK_SMD_OVERPASTE_TOE";"Power Jack";"";"CONN-08106";"PRT-12748";"";"";
"JP2";"AUDIO-JACK";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"";"CONN-10353";"";"";"";
"JP3";"FTDI Basic";"M06SIP";"1X06";"Header 6";"";"";"";"";"";
"JP5";"TestPoints";"M02PTH";"1X02";"Header 2";"";"";"";"";"";
"JP6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP7";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP9";"ISSP";"M05PTH";"1X05";"Header 5";"";"";"";"";"";
"LED1";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"LED2";"GREEN";"LED-GREEN1206";"LED-1206";"Various green LEDs";"";"DIO-00862";"";"GREEN";"";
"LOGO1";"SFE_LOGO_FLAME.3_INCH";"SFE_LOGO_FLAME.3_INCH";"SFE_LOGO_FLAME_.3";"SFE Logo, flame only";"";"";"";"";"";
"LOGO3";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";"";
"Q1";"12.288MHz";"CRYSTALCRYSTAL-SMD-5X3-12.288MHZ";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints.";"";"XTAL-09653";"";"";"";
"R1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"";"RES-00818";"";"330";"";
"R3";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"";"RES-07868";"";"1M";"";
"R4";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";"";
"R5";"47K";"47KOHM1/10W1%(0603)";"0603-RES";"RES-07871";"";"RES-07871";"";"47K";"";
"R6";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"RES-07849";"";"240";"";
"R7";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";"";
"R8";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";"";
"R9";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"";"RES-07862";"";"20";"";
"R10";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"";"RES-07862";"";"20";"";
"R11";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"";"RES-07862";"";"20";"";
"R12";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R13";"100/.25W";"100OHM-1/4W-5%(0603)";"0603-RES";"";"";"RES-12438";"";"100/.25W";"";
"R14";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";"";
"R15";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"RES-07828";"";"100k";"";
"R16";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R17";"390";"390OHM1/10W1%(0603)";"0603-RES";"RES-07864";"";"RES-07864";"";"390";"";
"R18";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R19";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R20";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R21";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R22";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R23";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R24";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R25";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R26";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R27";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R28";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R29";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R30";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R31";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R32";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R33";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R34";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R35";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R36";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R37";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R38";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"";"100";"";
"R39";"100/.25W";"100OHM-1/4W-5%(0603)";"0603-RES";"";"";"RES-12438";"";"100/.25W";"";
"S1";"NAV_SWITCHSMD";"NAV_SWITCHSMD";"NAV_SWITCH";"Navigation Switch";"";"SWCH-08301";"";"";"";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"SWCH-08179";"";"DPDT";"";
"SJ1";"UART Power";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"SJ2";"AudioLeft";"JUMPER_PAD-3-1&2_NC_BY_PASTE";"PAD-HUMPER-3-1&2_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"SJ3";"AudioRight";"JUMPER_PAD-3-1&2_NC_BY_PASTE";"PAD-HUMPER-3-1&2_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"SJ4";"AudioGND";"JUMPER_PAD-3-1&2_NC_BY_PASTE";"PAD-HUMPER-3-1&2_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";"";
"U$1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";"";
"U$4";"REVISION";"REVISION";"REVISION";"";"";"";"";"";"";
"U$12";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"U$13";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"U$14";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"U$15";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";
"U1";"CY8C29466";"CY8C29466-24";"SOIC-28";"CYPRESS MCU 32K FLASH 2K SRAM 28-SOIC";"";"IC-08972";"";"";"";
"U2";"USD-SOCKET";"USD-SOCKET";"MICROSD_1:1";"microSD Socket";"";"CONN-07820";"";"";"";
"U3";"MUX-74HC4067SMD";"MUX-74HC4067SMD";"SSOP24";"16-channel analog MUX";"";"IC-08252";"";"";"";
"U4";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";
"U5";"1.8V Reg";"V_REG_LDOSMD2";"SC70";"Voltage Regulator LDO";"";"VREG-08428";"";"";"";
"U7";"VS1063";"VS1063SMD";"LQFP-48";"";"";"IC-10870";"";"";"";
"U9";"M18_";"M18_";"1X18";"";"";"";"";"";"";
"U10";"M18_";"M18_";"1X18";"";"";"";"";"";"";
