"Part";"Value";"Device";"Package";"Description";"BOM";"TP_SIGNAL_NAME";
"TP6";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP7";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP8";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP9";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP10";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP11";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP12";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"TP13";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";
"U3";"FAN5333BSX";"FAN5331";"SOT23-5@1";"FAN5331 - LED/OLED 20V Boost Converter";"";"";
"X1";"MicroUSB";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";
"Y1";"12MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";
