"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SKU";"VALUE";
"JP25";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP26";"DNP";"M01ALLIGATOR_HALF";"1X01_ALLIGATOR_3MM_HALF";"Header 1";"";"";"";
"JP27";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP28";"DNP";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";
"JP29";"JST-4";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"CONN-13251";"";"";
"JP30";"DNP";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun has standardized on a pinout for all I2C based sensor breakouts.";"";"";"";
"L1";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";
"L2";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";
"LOGO1";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SFE Logo, name only";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";
"LOGO3";"SFE_LOGO_NAME.3_INCH";"SFE_LOGO_NAME.3_INCH";"SFE_LOGO_NAME_.3";"SFE Logo, name only";"";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"Q2";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3@1";"Generic NPN BJT";"TRANS-08049";"";"MMBT2222A";
"Q3";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3@1";"Generic NPN BJT";"TRANS-08049";"";"MMBT2222A";
"R1";"12k";"12KOHM-1/10W-1%(0603)";"0603-RES";"RES-10327";"RES-10327";"";"12k";
"R2";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R3";"22K";"22KOHM1/10W1%(0603)";"0603-RES";"RES-07853";"RES-07853";"";"22K";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R5";"DNP";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";
"R6";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"RES-08296";"";"2.0k";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R8";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R9";"200";"200OHM1/10W1%(0603)";"0603-RES";"RES-08220";"RES-08220";"";"200";
"R10";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R11";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"";"330";
"R12";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R13";"27";"27OHM1/10W1%(0603)0603-RES";"0603-RES";"RES-09334";"RES-09334";"";"";
"R14";"27";"27OHM1/10W1%(0603)0603-RES";"0603-RES";"RES-09334";"RES-09334";"";"";
"R15";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"";"4.7K";
"R16";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"";"4.7K";
"R17";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R18";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R19";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"R20";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES@1";"RES-00824";"RES-00824";"";"10K";
"S1";"GP0";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";"";
"SJ1";"DNP";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"SJ2";"PWRLED";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"SJ3";"WS2812-VCC";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"SJ4";"DNP";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";"";
"U2";"ESP8266";"ESP8266";"QFN32";"Espressif ESP8266";"IC-12452";"";"";
"U3";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"VREG-12457";"";"";
"U4";"FT231XS-U";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"IC-11524";"";"FTS31XS-U";
"U5";"W25Q32FVSS";"W25Q32FVSS";"SOIC-8";"";"IC-13229";"";"";
"U6";"SI7021";"SI7021";"SI7021";"The Si7021 is an I2C Humidity and Temperature Sensor";"IC-13093";"";"";
"Y1";"26MHz";"CRYSTAL-GROUNDED3.2X2.5";"CRYSTAL-SMD-3.2X2.5";"";"XTAL-12454";"";"";
