"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY";"DIGIKEY_PART";"MOUSE_PART";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"R18";"10k";"NTC-THERMISTOR-0603";"0603";"NTC Thermistor";"";"";"";"";"RES-13608";"";"";"";"10k";
"R19";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"";"1k";
"R20";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"";"100k";
"R22";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"";"100k";
"R23";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R24";"300k";"300KOHM-0603-1/10W-1%";"0603";"300kΩ resistor";"";"";"";"";"RES-10809";"";"";"";"300k";
"R25";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"";"";"33";
"R26";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"";"100k";
"R27";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"";"RES-09334";"";"";"";"27";
"R28";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"";"RES-09334";"";"";"";"27";
"R29";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R30";"150k";"150KOHM-0603-1/10W-1%";"0603";"150kΩ resistor";"";"";"";"";"RES-09117";"";"";"";"150k";
"R31";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R33";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"";"10k";
"R34";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"";"RES-07851";"";"";"";"3.3k";
"R37";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R38";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"U$2";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";"";"";
"U1";"74HC4052D";"74HC4052D";"SO16";"Dual 4:1 Analog Mux";"";"";"";"";"IC-13103";"";"";"";"74HC4052D";
"U2";"AP2112K-3.3";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"VREG-12457";"";"";"";"3.3V";
"U4";"STLQ015-3.3V";"STLQ015-3.3V";"SOT23-5";"STLQ015 - 150mA CMOS LDO Regulator w/ Enable";"";"";"";"";"IC-15779";"";"";"";"";
"U5";"ESP-WROOM-3232D";"ESP-WROOM-3232D";"ESP-WROOM-32D";"ESP-WROOM-32D - trace antenna (includes keepout)";"";"";"";"";"IC-15676";"";"";"";"";
"U6";"CH340C";"CH340C";"SO016";"";"";"";"";"";"IC-14038";"";"";"";"";
"U7";"MAX17048";"MAX17048DFN8";"DFN-8";"Micropower 1-Cell Li+ ModelGauge";"";"";"";"";"IC-12551";"";"";"";"MAX17048";
"U8";"NC7SZ14-D";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"SIP6";"NC7SZ14";"";"";"";"";"IC-15068";"";"";"";"";
"U9";"NC7SZ14-D";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"SIP6";"NC7SZ14";"";"";"";"";"IC-15068";"";"";"";"";
"U10";"MCP73833";"MCP73833";"DFN-10";"";"";"";"";"";"IC-14369";"";"";"";"MCP73833";
"U11";"U-BLOX_ZED_F9R";"U-BLOX_ZED_F9R";"UBLOX_ZED_F9R";"u-blox ZED-F9K ADR";"";"";"";"";"IC-14716";"";"";"";"";
"U13";"LIS2DH12";"LIS2DH12";"LGA-12-LISDH12";"";"";"497-14851-2-ND";"";"";"IC-14229";"";"";"";"";
