"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"JP15";"GND";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP16";"VCC";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"JP17";"GND";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"SPARKPUNK_LOGO.1INCH_TALL";"SPARKPUNK_LOGO.1INCH_TALL";"SPARKPUNK_LOGO_.1";"";"";"";"";"";
"LOGO3";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO4";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"R1";"10k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09435";"";
"R2";"10k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09435";"";
"R3";"470";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10693";"";
"R4";"470";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10693";"";
"R5";"1Meg";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09329";"";
"R6";"100k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10686";"";
"R7";"100k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10686";"";
"R8";"100k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10686";"";
"R9";"100k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10686";"";
"R10";"100k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-10686";"";
"R11";"10k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09435";"";
"R12";"10k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09435";"";
"R13";"10k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-09435";"";
"R14";"1k";"RESISTOREZ";"AXIAL-0.3EZ";"Resistor";"";"";"RES-08380";"";
"RV1";"10k";"POTALPS-KIT";"ALPS_POT_KIT";"";"";"";"RES-09177";"";
"RV2";"10k";"POTALPS-KIT";"ALPS_POT_KIT";"";"";"";"RES-09177";"";
"RV3";"10k";"POT_DUAL";"POT_PANASONIC_DUAL_VERT_KIT";"";"digikey";" P2A5103-ND";"RES-11897";"";
"RV4";"10k";"POTALPS-KIT";"ALPS_POT_KIT";"";"";"";"RES-09177";"";
"S1";"SPDT";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"SWCH-08261";"";
"S2";"SPDT";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"SWCH-08261";"";
"S3";"SPDT";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"SWCH-08261";"";
"S4";"SPDT";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"SWCH-08261";"";
"S5";"SWITCH-MOMENTARY-LEDEZ";"SWITCH-MOMENTARY-LEDEZ";"TACTILE-PTH-LED-12MM-EZ";"EZ is for Kits. There is no tStop (covering up the top side of the pads with mask). This helps the beginner see which side they should be soldering too.";"";"";"SWCH-11758";"";
"S6";"SPDT";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"SWCH-08261";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
