"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"J2";"AMP FCI 10103594-0001LF";"USB_MICRO-B_HALF_PTH";"USB-MICROB-PTH";"USB Type Micro-B Connector";"CONN-13711";"AMP FCI 10103594-0001LF";
"J3";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08438";"";
"J4";"";"CONN_06SILK_FEMALE_PTH";"1X06";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO2";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";
"R1";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"1M";
"R2";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"1M";
"R3";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"1M";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R6";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"R7";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"R8";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"20";
"R10";"20";"20OHM1/10W1%(0603)SMD";"0603-RES";"RES-07862";"RES-07862";"20";
"R11";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R12";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R13";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R14";"180";"180OHM1/10W1%(0603)";"0603-RES";"RES-08788";"RES-08788";"180";
"R15";"1M";"1MOHM-1/10W-1%(0603)";"0603-RES";"RES-07868";"RES-07868";"1M";
"R17";"150K";"150KOHM1/10W1%(0603)";"0603-RES";"RES-09117";"RES-09117";"150K";
"R18";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R19";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R20";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R21";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R22";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R23";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R24";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"RES-07828";"100k";
"R25";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R26";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R27";"10";"10OHM-1/10W-5%0603SMD";"0603-RES";"RES-09834";"RES-09834";"10";
"S1";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"U2";"VS1000D";"VS1000";"LQFP-48";"VS1000D";"LPA-12743";"VS1000D";
"U3";"4MB Flash";"AT25SF041";"SO08";"AT25SF041 4Mb Serial Flash Memory";"IC-12455";"4MB Flash";
"Y1";"12MHz";"CRYSTALCRYSTAL-SMD-5X3-12MHZ";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints.";"XTAL-08297";"12MHz";
