"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MOUSER_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"C21";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";
"C22";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C23";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C24";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"CAP-07881";"";"15pF";
"C25";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"0.1uF";
"C26";"10uF";"10UF-0805-25V-10%";"0805";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14259";"";"10uF";
"CTS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"CTS2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"D1";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"DIO-00819";"";"RED";
"D3";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"DIO-09003";"";"Yellow";
"D5";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D6";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"3A/10V/280mV";
"D7";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"DIO-00821";"";"GREEN";
"D8";"DT1042-04SO-7";"TVS_DIODE_ARRAY_4DT1042-04SO-7";"SOT23-6L";"";"";"";"";"";"DIO-14095";"";"";
"D9";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"DIO-09003";"";"Yellow";
"D10";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"PESD0402-140CT-ND";"";"650-PESD0402-140";"DIO-15359";"";"";
"D11";"PESD0402";"PESD0402";"0402";"ESD protection diode";"";"PESD0402-140CT-ND";"";"650-PESD0402-140";"DIO-15359";"";"";
"D12";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"DIO-00821";"";"GREEN";
"D13";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"DIO-08575";"";"BLUE";
"D14";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"";"";"";"DIO-09004";"";"WHITE";
"DCD";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"DSR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"DSR_DIR";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";
"DTR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"DVEXT";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"E3";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"SMA-EDGE-SMD";"SMA Antenna Connector w/ Ground";"";"";"";"";"CONN-15100";"";"";
"E4";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";"SMA-EDGE-SMD";"SMA Antenna Connector w/ Ground";"";"";"";"";"CONN-15100";"";"";
"F1";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"";"RES-14313";"";"6V/2A";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"";"RES-14313";"";"6V/2A";
"F3";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"";"RES-14313";"";"6V/2A";
"F4";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"";"";"";"RES-14313";"";"6V/2A";
"FB1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-13805";"";"30Ω/1.8A";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";
"IC1";"SN74AVC4T774PW";"SN74AVC4T774PW";"SOP65P640X120-16N";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"";"";"";"";"IC-15360";"";"SN74AVC4T774PW";
"IC2";"SN74AVC4T774PW";"SN74AVC4T774PW";"SOP65P640X120-16N";"Texas Instruments,SN74AVC4T774PW,IC, Texas Instruments SN74AVC4T774PW, Dual, Bus Transceiver, 4-Bit Non-Inverting 3-State, 1.2  3.6 V, 16-Pin TSSOP";"";"";"";"";"IC-15360";"";"SN74AVC4T774PW";
"J1";"";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";
"J2";"";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";
"J3";"";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";
"J5";"";"CONN_08NO_SILK_DNP";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J13";"TP";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J14";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";
"J17";"NANO_SIM";"SIMHOLDERNANOSIM";"NANO_SIM_WURTH_693043020611";"SIM Cellular Card Socket";"";"";"";"";"CONN-14097";"";"";
"J19";"NI";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"JP1";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";
"JP2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";
"JP19";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";
"L1";"DNP";"INDUCTORDNP-0402-COILCRAFT";"0402_COILCRAFT";"Inductors";"";"";"";"";"";"";"";
"L2";"68nH";"68NH-0402";"0402_COILCRAFT";"";"";"490-2633-1-ND";"81-LQG15HS68NJ02D";"";"NDUC-15356";"";"68nH";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";
"LOGO5";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";
"MEAS";"";"JUMPER-COMBO_2_NC_TRACE";"COMBO-JUMPER_2_NC_TRACE";"";"";"";"";"";"";"";"";
"Q1";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q2";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q3";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q4";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q5";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"";"";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";
"Q7";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q8";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"Q9";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"";"";"";"TRANS-11151";"";"310mA/60V/1.6Ω";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"RES-08272";"";"2.2k";
"R2";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R3";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R4";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"RES-08272";"";"2.2k";
"R5";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R6";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"4.7k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R8";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R9";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R10";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R11";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R12";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"4.7k";
"R13";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R14";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"4.7k";
"R15";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"5.1k";
"R17";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R18";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R19";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R23";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"10k";
"R24";"10";"10OHM-0603-1/10W-1%";"0603";"10Ω resistor";"";"";"";"";"RES-12581";"";"10";
"R25";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R26";"200k";"200KOHM-0603-1/10W-1%";"0603";"200kΩ resistor";"";"";"";"";"RES-09385";"";"200k";
"R27";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R28";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R29";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"RES-08272";"";"2.2k";
"R30";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"RES-08272";"";"2.2k";
"R31";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"RES-08609";"";"0";
"R32";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R33";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"";"";"";"RES-07863";"";"100";
"R34";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R35";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"";"";"";"RES-07869";"";"470";
"R36";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"RES-08609";"";"0";
"R37";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"";"";"";"RES-08609";"";"0";
"R38";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R39";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"R42";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R43";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"1k";
"R45";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"100k";
"RI";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"RTS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"RTS2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"RX";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"RX2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"RX_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-14139";"";"";
"S3";"SARA_PWR";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-14139";"";"";
"SERIAL";"";"CONN_10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP9";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP10";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP14";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP15";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP16";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP17";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TP22";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";
"TX";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"TX2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"TX_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"U1";"SARA-R510M8S";"SARA-R510M8S";"SARA-LGA";"";"";"";"";"";"IC-15573";"";"SARA-R510M8S";
"U2";"CH340C";"CH340C";"SO016";"";"";"";"";"";"IC-14038";"";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"VREG-12457";"";"3.3V";
"U4";"CH340E_MSOP10";"CH340E_MSOP10";"MSOP10";"";"";"";"";"";"IC-14135";"";"";
"U5";"AP7361C-33FGE";"AP7361C-33FGEUDFN-8";"UDFN-8";"AP7361C 3.3V LDO Regulator";"";"";"";"";"VREG-14094";"";"";
"U7";"PCA9306";"PCA9306VSSOP_8PIN";"VSSOP_8PIN";"Bidirectional I2C level shifter";"";"";"";"";"IC-14450";"";"";
"U8";"74HC1G04";"74HC1G04";"SOT353";"Single Inverter";"";"";"";"";"COMP-08268";"";"74HC1G04";
"VIN_LED";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
