"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"J3";"Qwiic";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J4";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";
"J5";"USB C";"USB_C_4-LAYER-ISOLATED";"USB-C-16P-4LAYER-ISOLATED";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"USB Female Type C Connector";
"J6";"microSD";"MICRO-SD-PUSH-PUSH-EXT-PIN";"MICROSD-EXTERNALPIN";"microSD Socket for Transflash";"";"CONN-16110";"";"";"";
"J7";"";"CONN_161X16_NO_SILK";"1X16_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J8";"";"CONN_12NO_SILK";"1X12_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J9";"MIKROBUS_SMD_BLACK1";"MIKROBUS_SMD_BLACK1";"MIKROBUS_SMD_BLACK";"";"";"CONN-16267";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";
"PWR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"Q1";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRANS-14388";"";"";"20V/4.2A/52mΩ/1.4W";
"R1";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"";"5.1k";
"R2";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";
"R3";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";
"R4";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"RES-14340";"";"";"5.1k";
"R5";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";
"R6";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"RES-08296";"";"";"2.0k";
"R7";"200OHM-0402T-1/16W-1%";"200OHM-0402T-1/16W-1%";"0402-TIGHT";"200Ω resistor";"";"RES-15550";"";"";"";
"R8";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";
"R9";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"";"10k";
"R10";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"";"2.2k";
"R11";"1k";"1KOHM-0402T-1/16W-1%";"0402-TIGHT";"1kΩ resistor";"";"RES-14342";"";"";"1k";
"R12";"27";"27OHM";"0402-TIGHT";"27Ω resistor";"";"RES-15238";"";"";"";
"R13";"27";"27OHM";"0402-TIGHT";"27Ω resistor";"";"RES-15238";"";"";"";
"R15";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"";"10k";
"R16";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"RES-14241";"";"";"10k";
"R17";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"";"2.2k";
"S1";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"S2";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"TP1";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP2";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP3";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"U$17";"RASPI_RP2040_LOGO_10MM";"RASPI_RP2040_LOGO_10MM";"RASPI_RP2040_LOGO_10MM";"";"";"";"";"";"";
"U$73";"RASPI_RP2040_LOGO_10MM";"RASPI_RP2040_LOGO_10MM";"RASPI_RP2040_LOGO_10MM";"";"";"";"";"";"";
"U2";"MAX17048";"MAX17048DFN8";"DFN-8";"Micropower 1-Cell Li+ ModelGauge";"";"IC-12551";"";"";"MAX17048";
"U3";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"IC-09995";"";"";"";
"U4";"W25QXX128MBIT";"W25QXX128MBIT-6X5-SKINNY_CENTER";"WSON-8-6X5-SKINNY_CENTERPAD";"";"";"IC-15107";"";"";"";
"U5";"RP2040";"RP2040";"QFN-56";"Raspberry Pi RP2040 MCU";"";"IC-15502";"";"";"";
"U7";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";
"Y2";"12MHz";"CRYSTAL-12MHZ";"CRYSTAL-SMD-2X2.5MM";"12.0MHz Crystal";"";"XTAL-15540";"";"";"";
