"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_SKU";"VALUE";
"JP11";"JP11";"M08SMD-COMBO";"1X08_SMD_COMBINED@1";"Header 8";"";"CONN-10204";"";"";"";
"JP12";"M10NO_SILK";"M10NO_SILK";"1X10_NO_SILK";"Header 10";"";"CONN-11219";"";"";"";
"JP13";"";"M06SMD-STRAIGHT-COMBO";"1X06_SMD_STRAIGHT_COMBO";"Header 6";"";"CONN-10203";"";"";"";
"JP14";"USB_SOLDER_PADS";"USB_SOLDER_PADS";"USB-SOLDER-PADS";"Solder pad access to USB pins. Helpful to expose on PCBs so user can attach external USB connector if necessary.";"";"";"";"";"";
"JP15";"";"M08NO_SILK";"1X08_NO_SILK@1";"Header 8";"";"CONN-10204";"";"";"";
"JP18";"";"M06NO_SILK";"1X06_NO_SILK@1";"Header 6";"";"CONN-10203";"";"";"";
"JP19";"";"CONN_08NO_SILK_FEMALE_PTH";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-08438";"";"";"";
"LED1";"Blue";"LED-BLUE_HIDDENSILK";"LED-1206-HIDDENSILK";"Blue SMD LED";"";"DIO-09911";"";"";"";
"LED2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"GREEN";
"Q1";"1.1A/60V/600mΩ";"MOSFET_PCH-SI2309DS";"SOT23-3";"P-channel MOSFETs";"";"TRANS-08285";"";"";"1.1A/60V/600mΩ";
"Q2";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"Q3";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"";"310mA/60V/1.6Ω";
"QW1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"QW2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R6";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R7";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"R8";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"R11";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R12";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"R13";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R14";"715";"715OHM-0603-1/10W-1%";"0603";"715Ω resistor";"";"RES-07850";"";"";"715";
"R15";"240";"240OHM-0603-1/10W-1%";"0603";"240Ω resistor";"";"RES-07849";"";"";"240";
"R16";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"";"4.7k";
"S1";"Tall Switch";"MOMENTARY-SWITCH-SPST-SMD-5.2-TALL-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"S2";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"SWCH-08179";"";"COM-00597";"";
"TP1";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP2";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP3";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP4";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"TP5";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";
"TP6";"TP-3x5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";
"U$16";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"U3";"AP2112-3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";
"U4";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";"IC-09069";"";"";"ATMEGA328P_TQFP";
"U5";"CH340C";"CH340C";"SO016";"";"";"IC-14038";"";"";"";
"Y1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"16MHz Resonator";"";"XTAL-08900";"";"";"16MHz";
