"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MFG_PART";"MOUSE_PART";"PROD_ID";"REV";"VALUE";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";
"GEO";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";"";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";
"J2";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";
"J3";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"J4";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"J5";"";"CONN_111X11_NO_SILK";"1X11_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J6";"";"CONN_09NO_SILK";"1X09_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"J7";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";
"LOGO2";"QWIIC_LOGO_4MM";"QWIIC_LOGO_4MM";"QWIIC_4MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";
"PPS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"PWR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"R1";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"";"RES-07851";"";"3.3k";
"R2";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"";"RES-07851";"";"3.3k";
"R3";"100K";"100KOHM-0402-1/16W-1%";"0402";"100kΩ resistor";"";"";"";"";"RES-13495";"";"100K";
"R4";"910";"910OHM-0603-1/10W-5%";"0603";"910 Ohm Resistor";"";"";"";"";"RES-13860";"";"910";
"R5";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"";"";"";"RES-07869";"";"470";
"R6";"470";"470OHM-0603-1/10W-1%";"0603";"470Ω resistor";"";"";"";"";"RES-07869";"";"470";
"R7";"910";"910OHM-0603-1/10W-5%";"0603";"910 Ohm Resistor";"";"";"";"";"RES-13860";"";"910";
"R8";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"33";
"R9";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"33";
"R10";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"33";
"R11";"33";"33OHM_RA-1206-1/16W-5%";"1206_RA";"EXB-38V330JV";"";"";"";"";"RES-15081";"";"33";
"R12";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"";"";"RES-08270";"";"33";
"R13";"33";"33OHM-0603-1/10W-1%";"0603";"33Ω resistor";"";"";"";"";"RES-08270";"";"33";
"R14";"5.1k";"5.1KOHM-0402-1/16W-1%";"0402";"";"";"";"";"";"RES-14340";"";"5.1k";
"R15";"5.1k";"5.1KOHM-0402-1/16W-1%";"0402";"";"";"";"";"";"RES-14340";"";"5.1k";
"R16";"4.7k";"4.7KOHM-0402T-1/16W-1%";"0402-TIGHT";"4.7kΩ resistor";"";"";"";"";"RES-15343";"";"4.7k";
"R17";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"RES-14342";"";"";
"R18";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"RES-14342";"";"";
"R19";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"RES-14342";"";"";
"R20";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"RES-14342";"";"";
"R21";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"";"RES-09334";"";"27";
"R22";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"";"";"";"";"RES-09334";"";"27";
"R23";"4.7k";"4.7KOHM-0402T-1/16W-1%";"0402-TIGHT";"4.7kΩ resistor";"";"";"";"";"RES-15343";"";"4.7k";
"R24";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"";"RES-07851";"";"3.3k";
"RTK";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";
"SPI";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"SparkFun Test Points";"";"";"";"";"";"";"";
"U1";"DUAL-OPTO_HCPL-073LSOIC-8";"DUAL-OPTO_HCPL-073LSOIC-8";"SO08";"HCPL-073L";"";"";"";"";"IC-15070";"";"";
"U2";"U-BLOX_ZED_F9K";"U-BLOX_ZED_F9K";"UBLOX_ZED_F9K";"u-blox ZED-F9K ADR";"";"";"";"";"IC-14475";"";"";
"U3";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"SIP6";"NC7SZ14";"";"";"";"";"IC-15068";"";"";
"U4";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"UHS_INVERTER_SCHMITT_TRIGGERSIP6";"SIP6";"NC7SZ14";"";"";"";"";"IC-15068";"";"";
"U5";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"VREG-12457";"";"3.3V";
