"Part";"Value";"Device";"Package";"Description";"BOM";"BUILT_BY";"COPYRIGHT";"DATASHEET";"MANUFACTURER_PART_NUMBER";"REV";"SOURCELIBRARY";"VENDOR";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";"";"";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";
"U1";"ESP32-S3-MINI-1";"ESP32-S3-MINI-1";"QFN60_ESP32-S2-MINI-1_EXP";"";"";"EMA_Kyle";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.espressif.com/sites/default/files/documentation/esp32-s2-mini-1_esp32-s2-mini-1u_datasheet_en.pdf";"ESP32-S2-MINI-1";"";"Add_to_database_2020-11-03";"Espressif Systems";
"U2";"AP2112/RT9080-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";
"U4";"BME280";"BME280";"BME280";"BME280 - Environmental Sensor (I2C + SPI)";"";"";"";"";"";"";"";"";
"U5";"AP2112/RT9080-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_MT_BATT";"JSTPH2_BATT";"";"";"";"";"";"";"";"";"";
"X3";"USB C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";
