"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"PROD_ID_2";"VALUE";"VERSION";
"FD6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD8";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"";"v01";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"FRAME3";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"H9";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H10";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H11";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H12";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"INT";"";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"J2";"RASPBERRYPI-40-PIN-GPIO_SMD_STACKABLE_NOHOLES";"RASPBERRYPI-40-PIN-GPIO_SMD_STACKABLE_NOHOLES";"RASPBERRY_PI_HAT_40_PIN_SMD_STACKABLE_NOHOLES";"Raspberry Pi GPIO Header";"";"CONN-14914";"CONN-14915";"";"";
"J3";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J4";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J5";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J6";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J7";"EXT SERVO PWR";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J8";"EXT 5V PWR";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J9";"";"CONN_02LG_DRILL";"1X02_2.54_SCREWTERM_LG_DRILL";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J10";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J11";"EXT MTR PWR";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J12";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J13";"";"CONN_02LG_DRILL";"1X02_2.54_SCREWTERM_LG_DRILL";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J14";"";"CONN_02LG_DRILL";"1X02_2.54_SCREWTERM_LG_DRILL";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J15";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J16";"";"CONN_02LG_DRILL";"1X02_2.54_SCREWTERM_LG_DRILL";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J17";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J18";"ISP";"AVR_SPI_PROG_3X2TESTPOINTS";"2X3_TEST_POINTS";"AVR ISP 6 Pin";"";"";"";"";"";
"J19";"";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";"";
"J20";"USB C";"USB_C2-LAYER";"USB-C-16P";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
"J21";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J22";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J23";"CORTEX_JTAG_DEBUG_PTH";"CORTEX_JTAG_DEBUG_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";
"JP1";"JUMPER-PAD-2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP2";"FUSE BP";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"JP3";"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";
"JP4";"PI ISO";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP5";"JUMPER-PAD-2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP6";"JUMPER-PAD-2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP9";"JUMPER-PAD-2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";
"JP10";"JUMPER-PAD-2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"JP11";"JUMPER-PAD-2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"JP12";"JUMPER-PAD-2";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"JP13";"ADR";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"JP15";"ADR";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"Q1";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"310mA/60V/1.6Ω";"";
"Q4";"310mA/60V/1.6Ω";"MOSFET-NCH-2N7002PW";"SOT323";"N-channel MOSFETs";"";"TRANS-11151";"";"310mA/60V/1.6Ω";"";
"Q5";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";"";
"Q6";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"";"TRAN-14386";"";"";"";
"Q7";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";"";
"Q8";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"";"TRAN-14386";"";"";"";
"Q9";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"TRAN-14388";"";"20V/4.2A/52mΩ/1.4W";"";
"Q10";"";"TRANS_PNP_DUALSOT-363";"SOT363_PHILIPS";"Dual PNP Transistors in Single Package";"";"TRAN-14386";"";"";"";
"Q23";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q24";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q27";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"Q28";"20V/0.2A/8MHz/1.2Ω/1Vth";"MOSFET-NCH-RE1C00UNTL";"SOT-416FL";"N-channel MOSFETs";"";"TRANS-14399";"";"20V/0.2A/8MHz/1.2Ω/1Vth";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R3";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603@1";"";"";"RES-12083";"";"5.1k";"";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R6";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603@1";"";"";"RES-12083";"";"5.1k";"";
"R7";"47k";"47KOHM-0603-1/10W-1%";"0603@1";"47kΩ resistor";"";"RES-07871";"";"47k";"";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R9";"47k";"47KOHM-0603-1/10W-1%";"0603@1";"47kΩ resistor";"";"RES-07871";"";"47k";"";
"R10";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603@1";"";"";"RES-12083";"";"5.1k";"";
"R11";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603@1";"";"";"RES-12083";"";"5.1k";"";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603@1";"";"";"RES-12083";"";"5.1k";"";
"R13";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R14";"47k";"47KOHM-0603-1/10W-1%";"0603@1";"47kΩ resistor";"";"RES-07871";"";"47k";"";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R16";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R17";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R18";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R19";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R22";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R25";"1";"1OHM-0603-1/10W-1%";"0603@1";"1Ω resistor";"";"RES-08269";"";"1";"";
"R26";"1";"1OHM-0603-1/10W-1%";"0603@1";"1Ω resistor";"";"RES-08269";"";"1";"";
"R27";"470";"470OHM-0603-1/10W-1%";"0603@1";"470Ω resistor";"";"RES-07869";"";"470";"";
"R33";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R37";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R38";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R39";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R40";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R41";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R42";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R43";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R44";"10k";"10KOHM-0603-1/10W-1%";"0603@1";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"R45";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R47";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R53";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R54";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R55";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"R56";"2.2k";"2.2KOHM-0402T-1/16W-1%";"0402-TIGHT";"2.2kΩ resistor";"";"RES-14341";"";"2.2k";"";
"TP0";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP1";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP2";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP3";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP4";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"TP5";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"TP6";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP7";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP8";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP9";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP10";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP11";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP12";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP13";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP14";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP15";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP16";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP17";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP18";"";"TEST-POINT3X4";"PAD.03X.04";"SparkFun Test Points";"";"";"";"";"";
"TP19";"";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";
"U$1";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";
"U1";"PCA9685";"PCA9685";"TSSOP-28_4MM";"16-channel 12-bit PWM";"";"IC-12271";"";"PCA9685";"";
"U4";"ATTINY84-ARDUINO";"ATTINY84-ARDUINO";"SO14";"";"";"IC-14155";"";"";"";
"U5";"DRV8835";"DRV883X";"WSON-12";"DRV8835 2 Channel Motor Driver";"";"IC-13342";"";"DRV8835";"";
"U6";"CY8C4245LQI-483";"PSOC4_4200_40QFN";"QFN-40";"Cypress PSoC 4200";"";"IC-13292";"";"CY8C4245LQI-483";"";
"U7";"9DoF IMU";"ICM-20948";"QFN24-3X3";"ICM-20948 9 Degree of Freedom IMU";"";"IC-14247";"";"9DoF IMU";"";
"U8";"1.8V/100mA";"V_REG_SP6214-1.8V";"SC70";"Voltage Regulator - SP6214";"";"VREG-08428";"";"1.8V/100mA";"";
