"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";"TP_SIGNAL_NAME";
"R9";"100K";"RESISTOR_4PACK_NO";"RESPACK_4X0603_NO";"Resistor Packs (4 resistors)";"";"";"";"";
"R10";"60 ohm";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";
"R11";"60 ohm";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";
"R12";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R13";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SJ2";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";
"TP2";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";
"U$14";"ATSAMD51J";"ATSAMD51J";"PQFN64-1";"ATSAMD51J cortex m4 microcontroller";"";"";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U1";"2MB Flash";"SPIFLASH_8PINUX";"USON8";"SOIC8 SPI Flash";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5@1";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN_BATT";"JSTPH2_BATT";"JST 2-Pin Right-Angle Connector";"";"";"";"";
"X2";"32.768";"XTAL-3.2X1.5";"XTAL3215";"Low cost SMT crystals, no capacitors included";"";"";"";"";
"X4";"3.5mm";"TERMBLOCK_1X3";"TERMBLOCK_1X3-3.5MM";"3.5mm Terminal block";"";"";"";"";
"X6";"USB Type C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";
