"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"JP9";"FTDI_BASIC";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";
"JP11";"Screw Terminals";"M05SCREW";"SCREWTERMINAL-3.5MM-5";"Header 5";"";"Combine 8288+8399";"";"";
"L1";"3.3uH";"INDUCTOR0805-IND";"0805";"Inductors";"";"NDUC-13076";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"Q1";"200mA/50V";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"Q2";"200mA/50V";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"Q3";"MMBT4403";"TRANSISTOR_PNPMMBT4403";"SOT23-3";"Generic PNP BJT";"";"TRANS-09245";"MMBT4403";"";
"Q4";"MOSFET-NCHANNEL2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"";"TRANS-11151";"";"";
"R1";"27";"27OHM1/10W1%(0603)";"0603";"RES-09334";"";"RES-09334";"27";"";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R3";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"100";"";
"R4";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"RES-07863";"100";"";
"R5";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R6";"27";"27OHM1/10W1%(0603)";"0603";"RES-09334";"";"RES-09334";"27";"";
"R7";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R8";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"4.7K";"";
"R9";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"4.7K";"";
"R10";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R11";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R12";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R13";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R14";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"RES-07857";"4.7K";"";
"R15";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"1K";"";
"R16";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"";"RES-09383";"20k";"";
"R17";"8.2K";"8.2KOHM-1/10W-5%(0603)";"0603-RES";"RES-10646";"";"RES-10646";"";"";
"R18";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"S2";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";
"SJ2";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"HX711";"HX711HX711";"SO16";"";"";"IC-12445";"HX711";"";
"U3";"TMP102";"TMP102";"SOT563";"I2C degC temp sensor";"";"IC-09303";"TMP102";"";
"U4";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"";"";"IC-09069";"ATMEGA328P_TQFP";"";
"U6";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"";"IC-11524";"FT231XS";"";
"Y2";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"";"XTAL-08900";"16MHZ";"";
