OOMP Summary file for Projects
OOMP Type;OOMP Size;OOMP Color;OOMP Description;OOMP Index;Full OOMP ID;Hex ID (short code);name;description;code;collection;gitRepo;gitName;eagleBoard;eagleSchem;kicadBoard;kicadSchem;Part Number (Manufacturer);Part Number (Distributor);Part Number (OPL);Footprint Kicad;Footprint Kicad;Symbol Kicad;Symbol Kicad Details;OOMP Parts List;
"PROJ";"ADAF";"0259";"STAN";"01";"PROJ-ADAF-0259-STAN-01";"PRPR0259";"Adafruit MCP73833 PCB";;;;"https://github.com/adafruit/Adafruit_MCP73833_PCB";"Adafruit_MCP73833_PCB";"/MCP73833_QFN_v1.0.brd";"/MCP73833_QFN_v1.0.sch";;;;;;;;;;;
"PROJ";"ADAF";"0269";"STAN";"01";"PROJ-ADAF-0269-STAN-01";"PRPR0269";"Adafruit MAX31855 breakout board";;;;"https://github.com/adafruit/Adafruit-MAX31855-breakout-board";"Adafruit-MAX31855-breakout-board";"/Adafruit_MAX31855 v2.brd";"/Adafruit_MAX31855 v2.sch";;;;;;;;;;;
"PROJ";"ADAF";"0280";"STAN";"01";"PROJ-ADAF-0280-STAN-01";"PRPR0280";"Adafruit USB DC LiPoly Charger";;;;"https://github.com/adafruit/Adafruit-USB-DC-LiPoly-Charger";"Adafruit-USB-DC-LiPoly-Charger";"/Adafruit_MCP7386x.brd";"/Adafruit_MCP7386x.sch";;;;;;;;;;;
"PROJ";"ADAF";"0284";"STAN";"01";"PROJ-ADAF-0284-STAN-01";"PRPR0284";"Adafruit FTDI Friend PCB";;;;"https://github.com/adafruit/Adafruit_FTDI-Friend-PCB";"Adafruit_FTDI-Friend-PCB";"/ftdifriend.brd";"/ftdifriend.sch";;;;;;;;;;;
"PROJ";"ADAF";"0287";"STAN";"01";"PROJ-ADAF-0287-STAN-01";"PRPR0287";"Adafruit Brain Machine Kit";;;;"https://github.com/adafruit/Adafruit_Brain-Machine-Kit";"Adafruit_Brain-Machine-Kit";"/pcb/brain.brd";"/pcb/brain.sch";;;;;;;;;;;
"PROJ";"ADAF";"0292";"STAN";"01";"PROJ-ADAF-0292-STAN-01";"PRPR0292";"Adafruit I2C SPI LCD Backpack PCB";;;;"https://github.com/adafruit/Adafruit-I2C-SPI-LCD-Backpack-PCB";"Adafruit-I2C-SPI-LCD-Backpack-PCB";"/i2cspilcdbackpack.brd";"/i2cspilcdbackpack.sch";;;;;;;;;;;
"PROJ";"ADAF";"0326";"STAN";"01";"PROJ-ADAF-0326-STAN-01";"PRPR0326";"Adafruit 128x64 Monochrome OLED PCB";;;;"https://github.com/adafruit/Adafruit-128x64-Monochrome-OLED-PCB";"Adafruit-128x64-Monochrome-OLED-PCB";"/Adafruit 0.96in 128x64 OLED STEMMA QT.brd";"/Adafruit 0.96in 128x64 OLED STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"0330";"STAN";"01";"PROJ-ADAF-0330-STAN-01";"PRPR0330";"Adafruit Microtouch";;;;"https://github.com/adafruit/Adafruit_Microtouch";"Adafruit_Microtouch";"/PCB/microtouch.brd";"/PCB/microtouch.sch";;;;;;;;;;;
"PROJ";"ADAF";"0358";"STAN";"01";"PROJ-ADAF-0358-STAN-01";"PRPR0358";"Adafruit 1.8 Inch TFT Breakout PCB";;;;"https://github.com/adafruit/Adafruit_1.8_Inch_TFT_Breakout_PCB";"Adafruit_1.8_Inch_TFT_Breakout_PCB";"/jdt1800-bob.brd";"/jdt1800-bob.sch";;;;;;;;;;;
"PROJ";"ADAF";"0364";"STAN";"01";"PROJ-ADAF-0364-STAN-01";"PRPR0364";"Adafruit PN532 RFID NFC Breakout";;;;"https://github.com/adafruit/Adafruit-PN532-RFID-NFC-Breakout";"Adafruit-PN532-RFID-NFC-Breakout";"/Adafruit PN532_Breakout_v1.6.brd";"/Adafruit PN532_Breakout_v1.6.sch";;;;;;;;;;;
"PROJ";"ADAF";"0376";"STAN";"01";"PROJ-ADAF-0376-STAN-01";"PRPR0376";"Adafruit 2.8 Inch TFT Shield PCB";;;;"https://github.com/adafruit/Adafruit_2.8_Inch_TFT_Shield_PCB";"Adafruit_2.8_Inch_TFT_Shield_PCB";"/tfttouchshield.brd";"/tfttouchshield.sch";;;;;;;;;;;
"PROJ";"ADAF";"0390";"STAN";"01";"PROJ-ADAF-0390-STAN-01";"PRPR0390";"USB DC Solar Lithium Ion Polymer charger";;;;"https://github.com/adafruit/USB-DC-Solar-Lithium-Ion-Polymer-charger";"USB-DC-Solar-Lithium-Ion-Polymer-charger";"/Adafruit MCP73871 Solar Charger v4.brd";"/Adafruit MCP73871 Solar Charger v4.sch";;;;;;;;;;;
"PROJ";"ADAF";"0391";"STAN";"01";"PROJ-ADAF-0391-STAN-01";"PRPR0391";"Adafruit BMP085 PCB";;;;"https://github.com/adafruit/Adafruit-BMP085-PCB";"Adafruit-BMP085-PCB";"/Adafruit_BMP085.brd";"/Adafruit_BMP085.sch";;;;;;;;;;;
"PROJ";"ADAF";"0395";"STAN";"01";"PROJ-ADAF-0395-STAN-01";"PRPR0395";"Adafruit TXB0108 PCB";;;;"https://github.com/adafruit/Adafruit-TXB0108-PCB";"Adafruit-TXB0108-PCB";"/Adafruit TXB0108.brd";"/Adafruit TXB0108.sch";;;;;;;;;;;
"PROJ";"ADAF";"0466";"STAN";"01";"PROJ-ADAF-0466-STAN-01";"PRPR0466";"Adafruit VCNL40X0 PCB";;;;"https://github.com/adafruit/Adafruit-VCNL40X0-PCB";"Adafruit-VCNL40X0-PCB";"/Adafruit VCNL4010.brd";"/Adafruit VCNL4010.sch";;;;;;;;;;;
"PROJ";"ADAF";"0512";"STAN";"01";"PROJ-ADAF-0512-STAN-01";"PRPR0512";"Adafruit 9 DOF and 10 DOF PCBs";;;;"https://github.com/adafruit/Adafruit-9-DOF-and-10-DOF-PCBs";"Adafruit-9-DOF-and-10-DOF-PCBs";"/Adafuit_10DOF.brd";"/Adafuit_10DOF.sch";;;;;;;;;;;
"PROJ";"ADAF";"0572";"STAN";"01";"PROJ-ADAF-0572-STAN-01";"PRPR0572";"Adafruit BeagleBone ProtoBoard PCB";;;;"https://github.com/adafruit/Adafruit-BeagleBone-ProtoBoard-PCB";"Adafruit-BeagleBone-ProtoBoard-PCB";"/Adafruit-BeagleBone-ProtoBoard-v0.1.brd";"/Adafruit-BeagleBone-ProtoBoard-v0.1.sch";;;;;;;;;;;
"PROJ";"ADAF";"0659";"STAN";"01";"PROJ-ADAF-0659-STAN-01";"PRPR0659";"Adafruit Flora Mainboard";;;;"https://github.com/adafruit/Adafruit-Flora-Mainboard";"Adafruit-Flora-Mainboard";"/adafruit flora mainboard 2.brd";"/adafruit flora mainboard 2.sch";;;;;;;;;;;
"PROJ";"ADAF";"0661";"STAN";"01";"PROJ-ADAF-0661-STAN-01";"PRPR0661";"Adafruit 128x32 SPI OLED breakout board PCB";;;;"https://github.com/adafruit/Adafruit-128x32-SPI-OLED-breakout-board-PCB";"Adafruit-128x32-SPI-OLED-breakout-board-PCB";"/Adafruit OLED 128x32 Mono.brd";"/Adafruit OLED 128x32 Mono.sch";;;;;;;;;;;
"PROJ";"ADAF";"0684";"STAN";"01";"PROJ-ADAF-0684-STAN-01";"PRPR0684";"Adafruit 96x64 RGB OLED Breakout PCB";;;;"https://github.com/adafruit/Adafruit-96x64-RGB-OLED-Breakout-PCB";"Adafruit-96x64-RGB-OLED-Breakout-PCB";"/Adafruit 96x64 RGB OLED Breakout v2.0.brd";"/Adafruit 96x64 RGB OLED Breakout v2.0.sch";;;;;;;;;;;
"PROJ";"ADAF";"0714";"STAN";"01";"PROJ-ADAF-0714-STAN-01";"PRPR0714";"Adafruit RGB LCD shield PCB";;;;"https://github.com/adafruit/Adafruit-RGB-LCD-shield-PCB";"Adafruit-RGB-LCD-shield-PCB";"/adafruit_rgblcdshield.brd";"/adafruit_rgblcdshield.sch";;;;;;;;;;;
"PROJ";"ADAF";"0723";"STAN";"01";"PROJ-ADAF-0723-STAN-01";"PRPR0723";"Adafruit Perma Proto PCB";;;;"https://github.com/adafruit/Adafruit-Perma-Proto-PCB";"Adafruit-Perma-Proto-PCB";"/adafruit minty permaproto.brd";"/adafruit minty permaproto.sch";;;;;;;;;;;
"PROJ";"ADAF";"0757";"STAN";"01";"PROJ-ADAF-0757-STAN-01";"PRPR0757";"4 Channel Level Shifter PCB";;;;"https://github.com/adafruit/4-Channel-Level-Shifter-PCB";"4-Channel-Level-Shifter-PCB";"/Adafruit FET 4-Channel Shifter.brd";"/Adafruit FET 4-Channel Shifter.sch";;;;;;;;;;;
"PROJ";"ADAF";"0782";"STAN";"01";"PROJ-ADAF-0782-STAN-01";"PRPR0782";"Adafruit USB Serial RGB Character Backpack PCB";;;;"https://github.com/adafruit/Adafruit-USB-Serial-RGB-Character-Backpack-PCB";"Adafruit-USB-Serial-RGB-Character-Backpack-PCB";"/Adafruit USB Serial Char LCD.brd";"/Adafruit USB Serial Char LCD.sch";;;;;;;;;;;
"PROJ";"ADAF";"0789";"STAN";"01";"PROJ-ADAF-0789-STAN-01";"PRPR0789";"Adafruit PN532 RFID NFC Shield";;;;"https://github.com/adafruit/Adafruit-PN532-RFID-NFC-Shield";"Adafruit-PN532-RFID-NFC-Shield";"/Adafruit_PN532_Shield_v1.0.brd";"/Adafruit_PN532_Shield_v1.0.sch";;;;;;;;;;;
"PROJ";"ADAF";"0795";"STAN";"01";"PROJ-ADAF-0795-STAN-01";"PRPR0795";"Adafruit Menta PCB";;;;"https://github.com/adafruit/Adafruit-Menta-PCB";"Adafruit-Menta-PCB";"/menta.brd";"/menta.sch";;;;;;;;;;;
"PROJ";"ADAF";"0801";"STAN";"01";"PROJ-ADAF-0801-STAN-01";"PRPR0801";"Adafruit Prototyping Pi Plate PCB";;;;"https://github.com/adafruit/Adafruit-Prototyping-Pi-Plate-PCB";"Adafruit-Prototyping-Pi-Plate-PCB";"/Adafruit proto pi plate.brd";"/Adafruit proto pi plate.sch";;;;;;;;;;;
"PROJ";"ADAF";"0802";"STAN";"01";"PROJ-ADAF-0802-STAN-01";"PRPR0802";"Adafruit 1.8 TFT Shield PCB";;;;"https://github.com/adafruit/Adafruit-1.8-TFT-Shield-PCB";"Adafruit-1.8-TFT-Shield-PCB";"/Adafruit 1.8 TFTshield rev B.brd";"/Adafruit 1.8 TFTshield rev B.sch";;;;;;;;;;;
"PROJ";"ADAF";"0815";"STAN";"01";"PROJ-ADAF-0815-STAN-01";"PRPR0815";"Adafruit 16 Channel PWM Servo Driver PCB";;;;"https://github.com/adafruit/Adafruit-16-Channel-PWM-Servo-Driver-PCB";"Adafruit-16-Channel-PWM-Servo-Driver-PCB";"/Adafruit PCA9685 rev C.brd";"/Adafruit PCA9685 rev C.sch";;;;;;;;;;;
"PROJ";"ADAF";"0878";"STAN";"01";"PROJ-ADAF-0878-STAN-01";"PRPR0878";"Adafruit LED Backpacks";;;;"https://github.com/adafruit/Adafruit-LED-Backpacks";"Adafruit-LED-Backpacks";"/Adafruit 0.54 Alphanumeric STEMMA QT.brd";"/Adafruit 0.54 Alphanumeric STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"0904";"STAN";"01";"PROJ-ADAF-0904-STAN-01";"PRPR0904";"Adafruit INA219 Current Sensor PCB";;;;"https://github.com/adafruit/Adafruit-INA219-Current-Sensor-PCB";"Adafruit-INA219-Current-Sensor-PCB";"/Adafruit INA219 STEMMA QT.brd";"/Adafruit INA219 STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"0931";"STAN";"01";"PROJ-ADAF-0931-STAN-01";"PRPR0931";"Adafruit 128x32 I2C OLED Breakout PCB";;;;"https://github.com/adafruit/Adafruit-128x32-I2C-OLED-Breakout-PCB";"Adafruit-128x32-I2C-OLED-Breakout-PCB";"/Adafruit OLED 128x32 Mono I2C STEMMA QT rev B.brd";"/Adafruit OLED 128x32 Mono I2C STEMMA QT rev B.sch";;;;;;;;;;;
"PROJ";"ADAF";"0935";"STAN";"01";"PROJ-ADAF-0935-STAN-01";"PRPR0935";"Adafruit MCP4725 PCB";;;;"https://github.com/adafruit/Adafruit-MCP4725-PCB";"Adafruit-MCP4725-PCB";"/Adafruit MCP4725 Original.brd";"/Adafruit MCP4725 Original.sch";;;;;;;;;;;
"PROJ";"ADAF";"0938";"STAN";"01";"PROJ-ADAF-0938-STAN-01";"PRPR0938";"Adafruit 1.3inch 128x64 Mono OLED PCB";;;;"https://github.com/adafruit/Adafruit-1.3inch-128x64-Mono-OLED-PCB";"Adafruit-1.3inch-128x64-Mono-OLED-PCB";"/Adafruit 1.3in 128x64 OLED STEMMA QT.brd";"/Adafruit 1.3in 128x64 OLED STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"0966";"STAN";"01";"PROJ-ADAF-0966-STAN-01";"PRPR0966";"Adafruit Low profile microSD to SD Adapter PCB";;;;"https://github.com/adafruit/Adafruit-Low-profile-microSD-to-SD-Adapter-PCB";"Adafruit-Low-profile-microSD-to-SD-Adapter-PCB";"/Adafruit Pi SD Card Adapter.brd";"/Adafruit Pi SD Card Adapter.sch";;;;;;;;;;;
"PROJ";"ADAF";"0987";"STAN";"01";"PROJ-ADAF-0987-STAN-01";"PRPR0987";"Adafruit MAX98306 Class D Amp PCB";;;;"https://github.com/adafruit/Adafruit-MAX98306-Class-D-Amp-PCB";"Adafruit-MAX98306-Class-D-Amp-PCB";"/Adafruit MAX98306.brd";"/Adafruit MAX98306.sch";;;;;;;;;;;
"PROJ";"ADAF";"0992";"STAN";"01";"PROJ-ADAF-0992-STAN-01";"PRPR0992";"Adafruit MPL115A2 Breakout PCB";;;;"https://github.com/adafruit/Adafruit-MPL115A2-Breakout-PCB";"Adafruit-MPL115A2-Breakout-PCB";"/Adafruit MPL115A2 Breakout.brd";"/Adafruit MPL115A2 Breakout.sch";;;;;;;;;;;
"PROJ";"ADAF";"1032";"STAN";"01";"PROJ-ADAF-1032-STAN-01";"PRPR1032";"Adafruit L3GD20 Breakout PCB";;;;"https://github.com/adafruit/Adafruit-L3GD20-Breakout-PCB";"Adafruit-L3GD20-Breakout-PCB";"/Adafruit L3GD20H Breakout.brd";"/Adafruit L3GD20H Breakout.sch";;;;;;;;;;;
"PROJ";"ADAF";"1059";"STAN";"01";"PROJ-ADAF-1059-STAN-01";"PRPR1059";"Adafruit Flora Ultimate GPS";;;;"https://github.com/adafruit/Adafruit-Flora-Ultimate-GPS";"Adafruit-Flora-Ultimate-GPS";"/Adafruit Flora_GPS.brd";"/Adafruit Flora_GPS.sch";;;;;;;;;;;
"PROJ";"ADAF";"1060";"STAN";"01";"PROJ-ADAF-1060-STAN-01";"PRPR1060";"Adafruit Flora Smart NeoPixel";;;;"https://github.com/adafruit/Adafruit-Flora-Smart-NeoPixel";"Adafruit-Flora-Smart-NeoPixel";"/adafruit flora neopixel.brd";"/adafruit flora neopixel.sch";;;;;;;;;;;
"PROJ";"ADAF";"1063";"STAN";"01";"PROJ-ADAF-1063-STAN-01";"PRPR1063";"Adafruit MAX4466 Electret Mic Amplifier PCBs";;;;"https://github.com/adafruit/Adafruit-MAX4466-Electret-Mic-Amplifier-PCBs";"Adafruit-MAX4466-Electret-Mic-Amplifier-PCBs";"/Adafruit MAX4466 Mic Amp.brd";"/Adafruit MAX4466 Mic Amp.sch";;;;;;;;;;;
"PROJ";"ADAF";"1083";"STAN";"01";"PROJ-ADAF-1083-STAN-01";"PRPR1083";"ADS1X15 Breakout Board PCBs";;;;"https://github.com/adafruit/ADS1X15-Breakout-Board-PCBs";"ADS1X15-Breakout-Board-PCBs";"/Adafruit ADS1015 ADC STEMMA QT.brd";"/Adafruit ADS1015 ADC STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"1106";"STAN";"01";"PROJ-ADAF-1106-STAN-01";"PRPR1106";"TIMESQUARE DIY Watch Kit";;;;"https://github.com/adafruit/TIMESQUARE-DIY-Watch-Kit";"TIMESQUARE-DIY-Watch-Kit";"/Adafruit_TIMESQUARE.brd";"/Adafruit_TIMESQUARE.sch";;;;;;;;;;;
"PROJ";"ADAF";"1110";"STAN";"01";"PROJ-ADAF-1110-STAN-01";"PRPR1110";"Adafruit 16x2 LCD Pi Plate";;;;"https://github.com/adafruit/Adafruit-16x2-LCD-Pi-Plate";"Adafruit-16x2-LCD-Pi-Plate";"/adafruit_rgblcdplate.brd";"/adafruit_rgblcdplate.sch";;;;;;;;;;;
"PROJ";"ADAF";"1120";"STAN";"01";"PROJ-ADAF-1120-STAN-01";"PRPR1120";"Adafruit LSM303 PCB";;;;"https://github.com/adafruit/Adafruit-LSM303-PCB";"Adafruit-LSM303-PCB";"/Adafruit_LSM303DLHC.brd";"/Adafruit_LSM303DLHC.sch";;;;;;;;;;;
"PROJ";"ADAF";"1135";"STAN";"01";"PROJ-ADAF-1135-STAN-01";"PRPR1135";"Adafruit Perma Proto Pi PCBs";;;;"https://github.com/adafruit/Adafruit-Perma-Proto-Pi-PCBs";"Adafruit-Perma-Proto-Pi-PCBs";"/Adafruit Perma Proto Pi - Full Size.brd";"/Adafruit Perma Proto Pi - Full Size.sch";;;;;;;;;;;
"PROJ";"ADAF";"1164";"STAN";"01";"PROJ-ADAF-1164-STAN-01";"PRPR1164";"Adafruit INA169 Breakout PCB";;;;"https://github.com/adafruit/Adafruit-INA169-Breakout-PCB";"Adafruit-INA169-Breakout-PCB";"/Adafruit INA169 CurPowerMonitor.brd";"/Adafruit INA169 CurPowerMonitor.sch";;;;;;;;;;;
"PROJ";"ADAF";"1222";"STAN";"01";"PROJ-ADAF-1222-STAN-01";"PRPR1222";"Adafruit Gemma PCB";;;;"https://github.com/adafruit/Adafruit-Gemma-PCB";"Adafruit-Gemma-PCB";"/Adafruit Gemma rev B.brd";"/Adafruit Gemma rev B.sch";;;;;;;;;;;
"PROJ";"ADAF";"1231";"STAN";"01";"PROJ-ADAF-1231-STAN-01";"PRPR1231";"Adafruit ADXL345 PCB";;;;"https://github.com/adafruit/Adafruit_ADXL345_PCB";"Adafruit_ADXL345_PCB";"/Adafruit ADXL345 Triple-Axis Accelerometer.brd";"/Adafruit ADXL345 Triple-Axis Accelerometer.sch";;;;;;;;;;;
"PROJ";"ADAF";"1231";"STAN";"0A";"PROJ-ADAF-1231-STAN-0A";"PRPR1231";"ADXL345 - Triple-Axis Accelerometer (+-2g/4g/8g/16g) Rev A";;;;"https://github.com/adafruit/Adafruit_ADXL345_PCB";"Adafruit_ADXL345_PCB";"Adafruit_ADXL345.brd";"Adafruit_ADXL345.sch";;;;;;;;;;;
"PROJ";"ADAF";"1231";"STAN";"0C";"PROJ-ADAF-1231-STAN-0C";"PRPR1231";"ADXL345 - Triple-Axis Accelerometer (+-2g/4g/8g/16g) Rev C";;;;"https://github.com/adafruit/Adafruit_ADXL345_PCB";"Adafruit_ADXL345_PCB";"ADXL345 STEMMA QT.brd";"ADXL345 STEMMA QT.sch";;;;;;;;;;;
"PROJ";"ADAF";"1246";"STAN";"01";"PROJ-ADAF-1246-STAN-01";"PRPR1246";"Adafruit Flora TSL2561 Lux Sensor PCB";;;;"https://github.com/adafruit/Adafruit-Flora-TSL2561-Lux-Sensor-PCB";"Adafruit-Flora-TSL2561-Lux-Sensor-PCB";"/Adafruit Flora TSL2561 Lux.brd";"/Adafruit Flora TSL2561 Lux.sch";;;;;;;;;;;
"PROJ";"ADAF";"1247";"STAN";"01";"PROJ-ADAF-1247-STAN-01";"PRPR1247";"Adafruit Flora LSM303 PCB";;;;"https://github.com/adafruit/Adafruit-Flora-LSM303-PCB";"Adafruit-Flora-LSM303-PCB";"/Adafruit Flora LSM303.brd";"/Adafruit Flora LSM303.sch";;;;;;;;;;;
"PROJ";"ADAF";"1272";"STAN";"01";"PROJ-ADAF-1272-STAN-01";"PRPR1272";"Adafruit GPS Logger Shield PCB";;;;"https://github.com/adafruit/Adafruit-GPS-Logger-Shield-PCB";"Adafruit-GPS-Logger-Shield-PCB";"/Adafruit GPS Logger Shield.brd";"/Adafruit GPS Logger Shield.sch";;;;;;;;;;;
"PROJ";"ADAF";"1296";"STAN";"01";"PROJ-ADAF-1296-STAN-01";"PRPR1296";"Adafruit TMP006 and TMP007 PCB";;;;"https://github.com/adafruit/Adafruit-TMP006-and-TMP007-PCB";"Adafruit-TMP006-and-TMP007-PCB";"/TMP006.brd";"/TMP006.sch";;;;;;;;;;;
"PROJ";"ADAF";"1312";"STAN";"01";"PROJ-ADAF-1312-STAN-01";"PRPR1312";"Adafruit Breadboard NeoPixel PCB";;;;"https://github.com/adafruit/Adafruit_Breadboard_NeoPixel_PCB";"Adafruit_Breadboard_NeoPixel_PCB";"/Adafruit_Breadboard_NeoPixel.brd";"/Adafruit_Breadboard_NeoPixel.sch";;;;;;;;;;;
"PROJ";"ADAF";"1325";"STAN";"01";"PROJ-ADAF-1325-STAN-01";"PRPR1325";"Adafruit FPC SMT Adapter PCBs";;;;"https://github.com/adafruit/Adafruit-FPC-SMT-Adapter-PCBs";"Adafruit-FPC-SMT-Adapter-PCBs";"/1.0mm + 0.5mm FPC stick.brd";"/1.0mm + 0.5mm FPC stick.sch";;;;;;;;;;;
"PROJ";"ADAF";"1334";"STAN";"01";"PROJ-ADAF-1334-STAN-01";"PRPR1334";"Adafruit TCS34725 Color Sensor Breakout PCB";;;;"https://github.com/adafruit/Adafruit-TCS34725-Color-Sensor-Breakout-PCB";"Adafruit-TCS34725-Color-Sensor-Breakout-PCB";"/Adafruit Flora TCS34725.brd";"/Adafruit Flora TCS34725.sch";;;;;;;;;;;
"PROJ";"ADAF";"1356";"STAN";"01";"PROJ-ADAF-1356-STAN-01";"PRPR1356";"Adafruit Flora TCS34725 Color Sensor PCB";;;;"https://github.com/adafruit/Adafruit-Flora-TCS34725-Color-Sensor-PCB";"Adafruit-Flora-TCS34725-Color-Sensor-PCB";"/Adafruit Flora TCS34725.brd";"/Adafruit Flora TCS34725.sch";;;;;;;;;;;
"PROJ";"ADAF";"1362";"STAN";"01";"PROJ-ADAF-1362-STAN-01";"PRPR1362";"Adafruit Standalone Capacitive Sensor PCB";;;;"https://github.com/adafruit/Adafruit-Standalone-Capacitive-Sensor-PCB";"Adafruit-Standalone-Capacitive-Sensor-PCB";"/Adafruit AT42QT1010 Breakout.brd";"/Adafruit AT42QT1010 Breakout.sch";;;;;;;;;;;
"PROJ";"ADAF";"1377";"STAN";"01";"PROJ-ADAF-1377-STAN-01";"PRPR1377";"Adafruit SMT Breakout PCBs";;;;"https://github.com/adafruit/Adafruit-SMT-Breakout-PCBs";"Adafruit-SMT-Breakout-PCBs";"/0.5mm 4-pin.brd";"/0.5mm 4-pin.sch";;;;;;;;;;;
"PROJ";"ADAF";"1381";"STAN";"01";"PROJ-ADAF-1381-STAN-01";"PRPR1381";"Adafruit VS1053 Breakout PCB";;;;"https://github.com/adafruit/Adafruit-VS1053-Breakout-PCB";"Adafruit-VS1053-Breakout-PCB";"/Adafruit VS1053 Breakout.brd";"/Adafruit VS1053 Breakout.sch";;;;;;;;;;;
"PROJ";"ADAF";"1384";"STAN";"01";"PROJ-ADAF-1384-STAN-01";"PRPR1384";"Adafruit GA1A1S202WP Breakout PCB";;;;"https://github.com/adafruit/Adafruit-GA1A1S202WP-Breakout-PCB";"Adafruit-GA1A1S202WP-Breakout-PCB";"/GA1A1S202WP-REV-B.brd";"/GA1A1S202WP-REV-B.sch";;;;;;;;;;;
"PROJ";"ADAF";"1393";"STAN";"01";"PROJ-ADAF-1393-STAN-01";"PRPR1393";"Adafruit Sharp Memory Display PCBs";;;;"https://github.com/adafruit/Adafruit-Sharp-Memory-Display-PCBs";"Adafruit-Sharp-Memory-Display-PCBs";"/Adafruit 2.7in Sharp Memory Display.brd";"/Adafruit 2.7in Sharp Memory Display.sch";;;;;;;;;;;
"PROJ";"ADAF";"1400";"STAN";"01";"PROJ-ADAF-1400-STAN-01";"PRPR1400";"Adafruit Push Button Power Switch PCB";;;;"https://github.com/adafruit/Adafruit-Push-Button-Power-Switch-PCB";"Adafruit-Push-Button-Power-Switch-PCB";"/Adafruit Power Switch.brd";"/Adafruit Power Switch.sch";;;;;;;;;;;
