"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"JP2";"";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"CONN-11794";"";
"JP3";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"CONN-08197";"";
"JP4";"";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"CONN-11443";"";
"JP5";"";"M05NO_SILK";"1X05_NO_SILK";"Header 5";"";"";
"JP6";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";
"JP7";"ARDUINO_R3NO_HOLES";"ARDUINO_R3NO_HOLES";"ARDUINO_R3_NO_HOLES";"Arduino R3 Footprint (w/ SPI header)";"";"";
"JP8";"";"M02-JST-2-PTH-NO_SILK";"JST-2-PTH-NS";"Standard 2-pin 0.1" header. Use with";"";"";
"JP9";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";
"L1";"FB - 30Ohm";"INDUCTOR0603";"0603";"Inductors";"RES-07859";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME.4_INCH";"SFE_LOGO_NAME_FLAME_.4";"SFE Logo, name and flame";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"LOGO4";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo";"";"";
"Q1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"2.5A/30V";
"Q2";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"TRANS-11151";"";
"R1";"3.9K";"3.9KOHM1/10W1%(0603)";"0603";"RES-08701";"RES-08701";"3.9K";
"R2";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R3";"PROG";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";
"R4";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R5";"47K";"47KOHM1/10W1%(0603)";"0603-RES";"RES-07871";"RES-07871";"47K";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R7";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R10";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R11";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R12";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"S1";"RESET";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"SJ1";"R-prog";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";
"SJ2";"PWR-LED";"JUMPER-PAD-2-NC_BY_TRACENO_SILK";"PAD-JUMPER-2-NC_BY_TRACE_NO_SILK";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"U2";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"IC-11920";"";
"U3";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"3.3V";
"U4";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"IC-13064";"";
"Y1";"32.768kHz";"CRYSTAL3.2X1.5MM";"CRYSTAL-SMD-3.2X1.5MM";"Various standard crystals. Proven footprints.";"XTAL-13062";"";
